记录日期,农场编号,农场名称,所在省份,作物种类,种植面积(亩),产量(吨),单价(元/公斤),总收入(万元),施肥量(kg/亩),灌溉量(立方米),农药使用量(kg),土壤湿度(%),气温(℃)
2024-12-22,A005,江南农场,江苏,水果,1147,1689.5,2.4,405.48,68.4,141,1.0,34.8,14.2
2024-05-26,A004,沃土农场,黑龙江,水果,1319,1229.0,20.7,2544.03,24.7,257,2.6,42.2,29.5
2024-11-25,A005,江南农场,江苏,水稻,1450,1875.8,3.9,731.56,25.6,244,2.2,53.8,27.8
2024-06-19,A003,金穗农场,安徽,小麦,219,197.1,12.0,236.52,73.7,71,1.5,75.1,29.4
2024-05-18,A008,云贵农场,云南,水稻,605,215.3,3.7,79.66,30.8,485,1.9,78.1,26.4
2024-04-19,A007,西北农场,陕西,水果,1952,765.8,5.7,436.51,60.6,326,2.0,67.8,13.9
2024-02-14,A002,丰收农场,河南,大豆,1075,1284.1,10.0,1284.1,70.3,224,3.2,60.7,26.7
2024-08-16,A006,岭南农场,广东,大豆,110,116.7,20.0,233.4,41.3,242,2.4,64.0,28.5
2024-12-03,A002,丰收农场,河南,小麦,1631,1700.1,20.4,3468.2,36.1,244,3.7,61.7,30.7
2024-05-15,A006,岭南农场,广东,蔬菜,788,337.2,2.1,70.81,65.7,102,1.1,39.4,22.6
2024-02-20,A007,西北农场,陕西,蔬菜,261,86.5,10.1,87.36,71.8,56,1.8,49.4,12.4
2024-03-05,A004,沃土农场,黑龙江,棉花,1221,1129.8,17.8,2011.04,38.1,302,1.2,38.4,17.7
2024-04-24,A005,江南农场,江苏,茶叶,1041,1290.0,10.3,1328.7,55.6,150,2.6,36.8,10.2
2024-06-15,A007,西北农场,陕西,蔬菜,730,956.3,10.7,1023.24,45.8,471,4.4,78.7,13.8
2024-06-06,A006,岭南农场,广东,水果,1285,1846.2,6.6,1218.49,78.1,199,3.8,61.6,37.1
2024-07-12,A004,沃土农场,黑龙江,小麦,717,538.7,20.8,1120.5,75.9,152,3.2,57.3,29.1
2024-08-26,A001,绿源农场,山东,棉花,1539,1314.2,18.3,2404.99,69.9,85,4.2,69.8,21.5
2024-11-05,A008,云贵农场,云南,水果,335,355.1,7.6,269.88,67.3,87,2.5,59.9,26.3
2024-12-26,A007,西北农场,陕西,小麦,1163,400.2,24.3,972.49,26.6,177,3.5,47.8,28.1
2024-07-25,A001,绿源农场,山东,蔬菜,1203,1780.8,17.6,3134.21,77.9,270,1.0,34.9,16.2
2024-11-19,A004,沃土农场,黑龙江,玉米,962,720.5,12.7,915.03,40.7,62,2.7,44.8,35.8
2024-06-10,A002,丰收农场,河南,蔬菜,287,372.4,18.8,700.11,47.3,155,2.8,47.4,12.7
2024-12-04,A008,云贵农场,云南,水稻,703,267.6,3.0,80.28,71.0,381,1.0,70.0,36.0
2024-09-14,A004,沃土农场,黑龙江,茶叶,1106,563.3,5.7,321.08,33.9,257,3.3,39.3,28.4
2024-08-19,A007,西北农场,陕西,水果,109,129.2,22.3,288.12,43.3,410,1.5,43.9,29.7
2024-03-12,A002,丰收农场,河南,蔬菜,1232,520.0,22.1,1149.2,31.8,108,1.7,73.1,24.8
2024-02-12,A006,岭南农场,广东,蔬菜,1272,974.8,11.0,1072.28,70.7,366,1.3,63.7,32.4
2024-05-04,A002,丰收农场,河南,玉米,1426,657.0,4.7,308.79,42.4,122,2.8,50.9,13.9
2024-12-21,A007,西北农场,陕西,玉米,916,479.0,16.6,795.14,53.3,300,1.8,39.4,33.6
2024-03-07,A001,绿源农场,山东,水果,1822,1331.6,2.2,292.95,77.8,308,3.4,50.5,23.8
2024-04-10,A008,云贵农场,云南,水稻,1050,525.7,15.0,788.55,36.5,325,1.8,69.0,25.8
2024-05-25,A008,云贵农场,云南,蔬菜,1175,1072.7,15.2,1630.5,52.5,437,0.7,65.9,25.3
2024-04-10,A007,西北农场,陕西,水稻,259,306.4,17.0,520.88,47.0,228,4.4,34.3,34.2
