航班日期,航班号,出发城市,到达城市,航空公司,机型,飞行距离(km),准点率(%),旅客人数,票价(元),燃油成本(元),是否延误
2024-05-11,CA6655,青岛,深圳,中国国航,B737,1630,74.0,130,1810,3872,是
2024-02-24,MU5186,厦门,南京,东方航空,A320,848,78.6,138,989,2173,否
2024-03-31,CA7505,上海,大连,中国国航,A320,856,81.9,117,919,2268,否
2024-04-13,CA6321,杭州,三亚,中国国航,B737,1717,71.0,146,1826,4459,否
2024-03-27,MU6456,杭州,广州,东方航空,A320,1053,80.2,139,1204,2794,是
2024-01-27,MU5193,西安,杭州,东方航空,A350,1151,85.4,266,1348,7267,否
2024-04-24,ZH6295,武汉,成都,深圳航空,A321,975,78.1,144,1017,2703,否
2024-04-25,CA1932,南京,厦门,中国国航,A320,848,86.9,149,971,2216,否
2024-01-11,HU4084,武汉,乌鲁木齐,海南航空,B787,2764,61.3,161,2537,13415,否
2024-02-14,CA5059,大连,三亚,中国国航,A330,2571,66.0,268,2932,12912,否
2024-03-26,CA6401,深圳,青岛,中国国航,B737,1630,66.9,152,1614,3901,否
2024-03-30,CZ7421,成都,广州,南方航空,B737,1243,76.0,121,1136,3674,否
2024-05-14,CA7937,乌鲁木齐,南京,中国国航,A320,3005,61.7,111,3004,7187,是
2024-01-20,CZ2657,乌鲁木齐,拉萨,南方航空,A320,1609,79.5,144,1970,3802,否
2024-06-08,MU8170,上海,大连,东方航空,B737,856,83.8,126,960,2253,否
2024-03-20,HU4178,南京,三亚,海南航空,B737,1795,79.1,143,1754,4389,是
2024-06-03,MU5096,上海,乌鲁木齐,东方航空,B737,3272,58.9,146,3541,9279,是
2024-05-11,MU8167,广州,昆明,东方航空,B777,1097,79.9,306,1281,7068,否
2024-03-22,CA6493,成都,杭州,中国国航,A320,1542,75.3,142,1604,4149,否
2024-01-02,CA1311,昆明,西安,中国国航,A330,1194,82.2,251,1348,6405,是
2024-04-17,ZH8489,广州,成都,深圳航空,A321,1243,80.2,148,1232,3536,否
2024-04-16,MU2402,乌鲁木齐,南京,东方航空,A320,3005,69.3,128,3574,8401,是
2024-04-09,CZ5155,北京,长沙,南方航空,A320,1340,71.7,132,1915,3052,否
2024-06-13,MU8612,三亚,杭州,东方航空,A350,1717,70.7,278,1611,9072,是
2024-01-11,CZ6080,乌鲁木齐,长沙,南方航空,A350,2842,61.9,275,2743,18403,是
2024-02-01,CZ8159,长沙,三亚,南方航空,A350,1154,79.9,222,1640,6470,是
2024-04-18,CA8055,杭州,武汉,中国国航,B737,566,82.7,121,817,1386,否
2024-04-24,CA6776,青岛,昆明,中国国航,A320,2091,67.1,132,2441,5950,是
2024-06-04,HU1570,成都,广州,海南航空,A330,1243,80.5,221,1380,7313,否
2024-04-05,HU2259,成都,拉萨,海南航空,B737,1255,79.6,136,1302,3344,否
2024-05-23,CA5288,昆明,三亚,中国国航,A330,1024,89.7,213,1497,6270,否
2024-04-23,CA6236,南京,广州,中国国航,B737,1138,80.1,139,1890,3039,是
2024-02-21,MU4878,三亚,北京,东方航空,B737,2492,65.1,144,2755,6332,否
2024-05-02,ZH7730,青岛,广州,深圳航空,A320,1599,77.8,124,2177,4378,否
2024-02-16,MU8088,乌鲁木齐,上海,东方航空,A320,3272,57.2,110,4720,8423,是
2024-01-21,CZ4216,拉萨,昆明,南方航空,A330,1254,82.6,241,1344,7208,是
2024-06-08,ZH6531,上海,北京,深圳航空,A320,1071,71.0,130,1321,2689,否
2024-05-07,ZH5745,厦门,乌鲁木齐,深圳航空,A320,3499,62.5,135,3049,8834,否
2024-02-22,CZ3353,武汉,南京,南方航空,B737,459,95.1,111,732,1213,否
2024-03-04,MU2586,上海,武汉,东方航空,B777,690,86.8,371,1069,5475,否
2024-02-18,MU9163,乌鲁木齐,大连,东方航空,B777,2869,69.7,316,2465,19283,否
2024-01-13,CA5609,三亚,乌鲁木齐,中国国航,B737,3497,59.0,146,4006,9919,是
2024-04-12,CA4189,南京,厦门,中国国航,A320,848,83.5,124,1334,2232,是
2024-01-25,HU7114,武汉,长沙,海南航空,A330,299,86.6,232,415,1617,否
2024-04-26,MU9446,成都,南京,东方航空,B737,1403,75.1,153,1810,4038,否
2024-06-30,ZH5911,三亚,北京,深圳航空,A321,2492,63.7,143,2248,7523,否
2024-06-01,HU5350,重庆,上海,海南航空,B787,1439,73.7,209,1635,7158,是
2024-05-26,CA4125,北京,三亚,中国国航,B737,2492,63.0,115,2871,7205,否
2024-06-29,MU9498,西安,南京,东方航空,B777,953,84.3,294,1028,6575,否
2024-06-23,CZ8932,西安,昆明,南方航空,B737,1194,82.3,116,1487,3018,否
2024-06-29,HU6194,三亚,南京,海南航空,B787,1795,81.2,215,1459,8636,否
2024-04-11,CZ3399,厦门,上海,南方航空,B737,816,88.8,150,1236,2349,否
2024-05-23,CZ3249,深圳,昆明,南方航空,A330,1193,68.3,208,1148,6680,否
2024-02-05,CA3587,青岛,乌鲁木齐,中国国航,B777,2903,66.4,347,2607,22194,否
2024-02-29,ZH1611,杭州,大连,深圳航空,A320,965,89.5,104,1500,2623,否
