订单日期,订单编号,商品类别,品牌名称,销售渠道,所在地区,销售数量,单价(元),销售额(元),利润(元),退货数量,好评率(%),客户年龄,支付方式
2024-01-02,ORD-2024-00001,图书文具,外研社,移动APP,华东,2,17.67,35.34,10.03,0,99.5,23,微信支付
2024-01-07,ORD-2024-00002,食品饮料,农夫山泉,移动APP,西北,4,14.75,59.0,8.73,0,95.8,18,微信支付
2024-01-08,ORD-2024-00003,食品饮料,三只松鼠,移动APP,西南,12,59.77,717.24,72.16,2,78.5,36,信用卡
2024-01-13,ORD-2024-00004,电子产品,戴尔,移动APP,华东,3,504.33,1512.99,334.82,0,92.1,27,微信支付
2024-01-14,ORD-2024-00005,母婴玩具,费雪,移动APP,华北,1,107.71,107.71,24.67,0,99.8,34,支付宝
2024-01-15,ORD-2024-00006,电子产品,联想,移动APP,西南,5,6782.28,33911.4,4908.59,0,99.4,18,微信支付
2024-01-16,ORD-2024-00007,食品饮料,良品铺子,直播带货,华中,3,25.23,75.69,11.42,3,70.4,43,微信支付
2024-01-18,ORD-2024-00008,美妆护肤,兰蔻,直播带货,华北,3,60.48,181.44,-19.75,0,99.9,24,微信支付
2024-01-21,ORD-2024-00009,服装鞋帽,海澜之家,第三方平台,华中,4,58.22,232.88,79.42,0,94.2,29,微信支付
2024-01-23,ORD-2024-00010,食品饮料,三只松鼠,第三方平台,华北,4,58.66,234.64,30.79,0,99.1,26,支付宝
2024-01-24,ORD-2024-00011,电子产品,戴尔,官方网站,华南,1,2024.56,2024.56,525.96,0,99.6,29,支付宝
2024-01-25,ORD-2024-00012,服装鞋帽,波司登,移动APP,华东,13,163.7,2128.1,695.6,0,95.7,27,微信支付
2024-02-01,ORD-2024-00013,美妆护肤,兰蔻,官方网站,华东,1,1099.56,1099.56,393.25,1,77.4,31,微信支付
2024-02-02,ORD-2024-00014,服装鞋帽,优衣库,线下门店,西北,1,150.0,150.0,60.25,0,99.2,22,银行卡
2024-02-04,ORD-2024-00015,家居用品,罗莱家纺,第三方平台,华南,1,156.61,156.61,24.88,1,77.8,37,微信支付
2024-02-05,ORD-2024-00016,母婴玩具,帮宝适,直播带货,西北,1,544.65,544.65,145.82,0,96.4,35,微信支付
2024-02-06,ORD-2024-00017,运动户外,北面,直播带货,西南,3,1723.34,5170.02,1755.19,0,96.9,26,微信支付
2024-02-10,ORD-2024-00018,电子产品,联想,第三方平台,华中,1,407.79,407.79,54.42,0,98.1,33,支付宝
2024-02-11,ORD-2024-00019,食品饮料,百草味,移动APP,华北,8,14.17,113.36,21.82,3,79.1,31,微信支付
2024-02-12,ORD-2024-00020,家居用品,茶花,移动APP,华东,1,164.92,164.92,50.15,0,99.7,38,微信支付
2024-02-13,ORD-2024-00021,服装鞋帽,海澜之家,官方网站,华东,1,554.9,554.9,-68.32,0,95.1,37,支付宝
2024-02-14,ORD-2024-00022,运动户外,北面,第三方平台,华南,2,171.88,343.76,82.76,0,99.0,30,支付宝
2024-02-15,ORD-2024-00023,母婴玩具,乐高,第三方平台,华中,1,44.1,44.1,8.88,0,99.7,41,支付宝
2024-02-16,ORD-2024-00024,食品饮料,伊利,移动APP,华南,1,76.97,76.97,8.85,0,97.9,31,支付宝
2024-02-17,ORD-2024-00025,母婴玩具,贝亲,官方网站,华北,1,87.63,87.63,23.49,0,98.1,28,支付宝
2024-02-18,ORD-2024-00026,电子产品,苹果,移动APP,西南,2,1944.77,3889.54,848.2,0,96.5,37,微信支付
2024-02-22,ORD-2024-00027,美妆护肤,百雀羚,第三方平台,华中,1,58.11,58.11,19.82,0,97.6,23,信用卡
2024-02-23,ORD-2024-00028,运动户外,凯乐石,官方网站,华南,2,1154.38,2308.76,567.24,0,95.0,20,支付宝
2024-02-24,ORD-2024-00029,服装鞋帽,安踏,移动APP,西北,1,522.34,522.34,196.27,0,99.0,28,微信支付
2024-02-28,ORD-2024-00030,家居用品,茶花,第三方平台,华东,2,1027.47,2054.94,394.82,0,97.3,33,支付宝
2024-03-02,ORD-2024-00031,服装鞋帽,海澜之家,移动APP,西南,2,99.24,198.48,84.19,0,99.9,18,信用卡
2024-03-05,ORD-2024-00032,电子产品,戴尔,移动APP,华东,6,1021.36,6128.16,1059.82,0,99.7,20,微信支付
2024-03-07,ORD-2024-00033,服装鞋帽,安踏,第三方平台,西南,4,253.4,1013.6,429.42,2,72.3,24,微信支付
2024-03-08,ORD-2024-00034,服装鞋帽,波司登,线下门店,华南,2,56.11,112.22,31.38,0,98.2,47,支付宝
2024-03-09,ORD-2024-00035,电子产品,戴尔,移动APP,东北,3,364.06,1092.18,163.98,0,98.3,31,信用卡
2024-03-10,ORD-2024-00036,运动户外,始祖鸟,移动APP,东北,3,998.37,2995.11,728.22,0,97.2,39,信用卡
2024-03-12,ORD-2024-00037,家居用品,宜家,移动APP,华北,4,1088.25,4353.0,1034.42,0,98.5,48,微信支付
2024-03-13,ORD-2024-00038,服装鞋帽,优衣库,移动APP,华南,3,146.84,440.52,149.66,0,97.7,37,微信支付
2024-03-14,ORD-2024-00039,食品饮料,伊利,直播带货,华东,1,59.96,59.96,6.57,0,96.5,45,微信支付
2024-03-16,ORD-2024-00040,食品饮料,伊利,直播带货,华东,7,12.28,85.96,16.52,1,69.7,45,微信支付
2024-03-18,ORD-2024-00041,食品饮料,伊利,第三方平台,华东,1,101.41,101.41,10.32,0,99.3,49,微信支付
2024-03-20,ORD-2024-00042,电子产品,小米,移动APP,华东,3,1337.74,4013.22,862.71,0,96.9,29,微信支付
2024-03-22,ORD-2024-00043,服装鞋帽,安踏,移动APP,西南,1,318.26,318.26,85.65,0,96.8,27,支付宝
2024-03-23,ORD-2024-00044,美妆护肤,百雀羚,移动APP,华北,1,514.63,514.63,161.91,0,99.0,44,信用卡
2024-03-24,ORD-2024-00045,电子产品,联想,直播带货,华北,1,5645.92,5645.92,1375.46,0,93.2,22,微信支付
2024-03-26,ORD-2024-00046,美妆护肤,百雀羚,移动APP,华北,6,551.71,3310.26,1434.14,0,97.0,30,支付宝
2024-03-27,ORD-2024-00047,家居用品,茶花,线下门店,华北,4,41.75,167.0,38.73,0,97.6,47,微信支付
2024-03-28,ORD-2024-00048,美妆护肤,百雀羚,第三方平台,华东,4,80.09,320.36,162.27,0,99.5,18,支付宝
2024-03-29,ORD-2024-00049,母婴玩具,费雪,第三方平台,西南,1,662.12,662.12,217.48,0,96.4,41,微信支付
2024-03-31,ORD-2024-00050,美妆护肤,雅诗兰黛,直播带货,西南,4,153.85,615.4,197.07,0,96.2,26,微信支付
2024-04-02,ORD-2024-00051,电子产品,华为,线下门店,华南,2,3359.71,6719.42,994.3,0,99.3,36,信用卡
2024-04-06,ORD-2024-00052,服装鞋帽,安踏,第三方平台,华东,3,91.01,273.03,102.09,0,98.5,42,货到付款
2024-04-07,ORD-2024-00053,电子产品,华为,第三方平台,华东,1,3588.86,3588.86,583.05,0,97.1,26,微信支付
2024-04-08,ORD-2024-00054,运动户外,探路者,移动APP,西南,1,193.86,193.86,53.03,0,98.8,18,支付宝
2024-04-09,ORD-2024-00055,图书文具,得力,移动APP,华北,1,60.87,60.87,14.88,1,77.2,19,支付宝
2024-04-12,ORD-2024-00056,电子产品,小米,移动APP,华中,1,800.25,800.25,146.54,0,96.2,21,支付宝
2024-04-14,ORD-2024-00057,运动户外,探路者,移动APP,华中,5,539.32,2696.6,747.69,0,96.5,29,支付宝
2024-04-15,ORD-2024-00058,电子产品,苹果,官方网站,西南,1,228.04,228.04,45.92,0,99.1,42,微信支付
2024-04-16,ORD-2024-00059,运动户外,探路者,移动APP,华东,10,273.15,2731.5,966.53,0,98.4,34,支付宝
2024-04-20,ORD-2024-00060,母婴玩具,帮宝适,移动APP,华南,1,147.97,147.97,49.78,0,99.6,35,微信支付
2024-04-21,ORD-2024-00061,食品饮料,百草味,线下门店,华东,1,19.57,19.57,3.65,0,98.0,44,信用卡
2024-04-23,ORD-2024-00062,运动户外,北面,移动APP,华南,4,249.94,999.76,307.84,1,75.6,35,信用卡
2024-04-27,ORD-2024-00063,图书文具,中华书局,官方网站,华中,2,6.87,13.74,2.37,0,96.3,40,银行卡
2024-05-02,ORD-2024-00064,服装鞋帽,李宁,第三方平台,西南,1,233.0,233.0,92.41,0,98.2,42,信用卡
2024-05-04,ORD-2024-00065,电子产品,华为,移动APP,华中,4,2442.49,9769.96,2354.58,0,97.5,25,支付宝
2024-05-06,ORD-2024-00066,美妆护肤,自然堂,移动APP,华东,1,208.95,208.95,83.7,0,98.8,24,支付宝
2024-05-07,ORD-2024-00067,食品饮料,百草味,第三方平台,华东,1,87.13,87.13,8.53,0,96.0,29,支付宝
2024-05-08,ORD-2024-00068,电子产品,联想,官方网站,西北,8,2140.22,17121.76,3208.61,0,96.9,29,微信支付
