学校编号,学校名称,学校类型,所在城市,年级,班级数,学生人数,教师人数,师生比,平均分,及格率(%),优秀率(%),课外活动次数
SCH001,北京市第一小学,小学,北京,一年级,6,282,14,0.05,66.4,65.2,4.5,25
SCH001,北京市第一小学,小学,北京,二年级,12,480,27,0.056,77.7,74.1,19.4,19
SCH001,北京市第一小学,小学,北京,三年级,4,184,12,0.065,77.5,74.5,19.8,22
SCH002,北京市第二小学,小学,北京,一年级,12,600,31,0.052,77.7,79.8,20.7,10
SCH002,北京市第二小学,小学,北京,二年级,5,175,11,0.063,69.1,64.4,8.2,14
SCH002,北京市第二小学,小学,北京,三年级,6,294,16,0.054,86.7,86.7,32.1,23
SCH003,北京市第三小学,小学,北京,一年级,5,215,13,0.06,88.3,87.0,37.2,6
SCH003,北京市第三小学,小学,北京,二年级,11,451,31,0.069,65.3,68.6,8.9,14
SCH003,北京市第三小学,小学,北京,三年级,4,196,9,0.046,89.6,85.5,39.2,8
SCH004,北京市第四小学,小学,北京,一年级,7,287,18,0.063,80.8,79.3,27.1,25
SCH004,北京市第四小学,小学,北京,二年级,10,400,23,0.058,87.1,90.2,35.6,23
SCH004,北京市第四小学,小学,北京,三年级,9,387,22,0.057,67.4,72.2,6.8,23
SCH005,北京市第一中学,初中,北京,一年级,10,430,18,0.042,86.0,85.1,26.8,13
SCH005,北京市第一中学,初中,北京,二年级,16,704,42,0.06,66.2,62.7,5.7,12
SCH005,北京市第一中学,初中,北京,三年级,16,832,45,0.054,80.5,78.2,23.7,19
SCH006,北京市第二中学,初中,北京,一年级,7,294,15,0.051,86.0,87.9,35.0,19
SCH006,北京市第二中学,初中,北京,二年级,13,650,37,0.057,89.8,93.3,31.7,19
SCH006,北京市第二中学,初中,北京,三年级,16,816,53,0.065,87.5,86.5,37.7,11
SCH007,北京市第三中学,初中,北京,一年级,13,624,31,0.05,71.1,71.6,9.6,20
SCH007,北京市第三中学,初中,北京,二年级,11,451,18,0.04,82.0,85.4,21.6,10
SCH007,北京市第三中学,初中,北京,三年级,13,702,28,0.04,92.7,89.7,41.1,9
SCH008,北京市第四中学,初中,北京,一年级,16,784,35,0.045,91.8,89.5,39.7,13
SCH008,北京市第四中学,初中,北京,二年级,7,357,21,0.059,82.8,78.3,28.6,28
SCH008,北京市第四中学,初中,北京,三年级,9,477,28,0.059,84.5,79.5,29.2,9
SCH009,北京市第一高中,高中,北京,一年级,17,799,44,0.055,76.2,71.3,17.9,8
SCH009,北京市第一高中,高中,北京,二年级,14,616,33,0.054,69.3,65.2,14.2,8
SCH009,北京市第一高中,高中,北京,三年级,13,663,44,0.066,66.4,69.1,10.2,9
SCH010,北京市第二高中,高中,北京,一年级,18,792,33,0.042,80.0,81.1,20.6,16
SCH010,北京市第二高中,高中,北京,二年级,19,874,51,0.058,66.8,65.9,10.0,11
SCH010,北京市第二高中,高中,北京,三年级,9,387,17,0.044,65.9,68.2,5.6,18
SCH011,北京市第三高中,高中,北京,一年级,13,572,27,0.047,82.6,80.1,28.1,28
SCH011,北京市第三高中,高中,北京,二年级,17,833,52,0.062,84.1,87.6,30.5,14
SCH011,北京市第三高中,高中,北京,三年级,11,506,31,0.061,71.5,67.0,17.8,12
SCH012,北京市第四高中,高中,北京,一年级,15,780,33,0.042,78.0,78.9,21.9,5
SCH012,北京市第四高中,高中,北京,二年级,13,650,28,0.043,89.5,90.2,34.1,26
SCH012,北京市第四高中,高中,北京,三年级,10,550,37,0.067,86.7,81.9,27.7,13
SCH013,上海市第一小学,小学,上海,一年级,7,252,17,0.067,92.4,91.4,36.7,27
SCH013,上海市第一小学,小学,上海,二年级,12,576,30,0.052,74.9,76.3,18.3,9
SCH013,上海市第一小学,小学,上海,三年级,8,296,14,0.047,78.4,75.4,25.2,22
SCH014,上海市第二小学,小学,上海,一年级,9,423,24,0.057,86.4,87.9,33.1,14
SCH014,上海市第二小学,小学,上海,二年级,10,420,17,0.04,64.8,64.1,5.3,24
SCH014,上海市第二小学,小学,上海,三年级,4,176,10,0.057,83.1,79.9,22.8,9
SCH015,上海市第三小学,小学,上海,一年级,4,160,8,0.05,73.1,73.3,18.9,13
SCH015,上海市第三小学,小学,上海,二年级,6,276,12,0.043,87.0,84.7,36.3,29
SCH015,上海市第三小学,小学,上海,三年级,4,180,11,0.061,70.7,66.3,15.0,23
SCH016,上海市第四小学,小学,上海,一年级,5,250,13,0.052,73.5,73.5,16.9,16
SCH016,上海市第四小学,小学,上海,二年级,6,258,16,0.062,90.6,92.3,32.9,28
SCH016,上海市第四小学,小学,上海,三年级,12,420,17,0.04,89.6,87.0,35.2,17
SCH017,上海市第一中学,初中,上海,一年级,8,360,24,0.067,89.4,89.9,39.4,28
SCH017,上海市第一中学,初中,上海,二年级,16,848,39,0.046,69.9,74.1,10.1,7
SCH017,上海市第一中学,初中,上海,三年级,15,765,33,0.043,83.5,79.0,25.4,21
SCH018,上海市第二中学,初中,上海,一年级,6,312,13,0.042,76.9,74.7,23.7,15
SCH018,上海市第二中学,初中,上海,二年级,7,378,15,0.04,68.4,69.0,8.1,24
SCH018,上海市第二中学,初中,上海,三年级,9,486,24,0.049,93.1,98.1,42.5,28
SCH019,上海市第三中学,初中,上海,一年级,14,658,29,0.044,91.8,87.0,38.6,25
SCH019,上海市第三中学,初中,上海,二年级,6,300,12,0.04,83.0,86.5,29.9,8
SCH019,上海市第三中学,初中,上海,三年级,9,423,22,0.052,92.8,97.5,35.8,13
SCH020,上海市第四中学,初中,上海,一年级,7,287,19,0.066,90.7,90.9,38.8,16
SCH020,上海市第四中学,初中,上海,二年级,13,546,31,0.057,78.2,79.6,20.8,23
SCH020,上海市第四中学,初中,上海,三年级,15,615,32,0.052,92.9,90.3,37.1,15
SCH021,上海市第一高中,高中,上海,一年级,20,1040,63,0.061,85.5,83.7,28.3,7
SCH021,上海市第一高中,高中,上海,二年级,11,484,30,0.062,80.7,77.3,21.5,19
SCH021,上海市第一高中,高中,上海,三年级,13,689,30,0.044,73.5,76.2,15.7,19
SCH022,上海市第二高中,高中,上海,一年级,12,516,22,0.043,87.8,85.8,35.4,24
SCH022,上海市第二高中,高中,上海,二年级,8,368,23,0.062,72.5,68.4,12.5,16
SCH022,上海市第二高中,高中,上海,三年级,14,574,34,0.059,70.3,75.2,7.7,17
SCH023,上海市第三高中,高中,上海,一年级,15,705,30,0.043,65.3,68.2,3.0,6
SCH023,上海市第三高中,高中,上海,二年级,20,940,41,0.044,88.4,87.1,35.4,25
SCH023,上海市第三高中,高中,上海,三年级,9,432,29,0.067,64.4,69.4,3.0,25
SCH024,上海市第四高中,高中,上海,一年级,15,660,28,0.042,89.1,92.2,31.1,19
SCH024,上海市第四高中,高中,上海,二年级,8,360,24,0.067,75.9,78.1,19.0,17
SCH024,上海市第四高中,高中,上海,三年级,18,954,43,0.045,68.9,65.8,8.5,9
SCH025,广州市第一小学,小学,广州,一年级,4,168,9,0.054,78.0,81.8,21.4,7
SCH025,广州市第一小学,小学,广州,二年级,8,376,16,0.043,68.4,72.2,10.3,25
SCH025,广州市第一小学,小学,广州,三年级,12,420,29,0.069,87.0,85.6,32.8,20
SCH026,广州市第二小学,小学,广州,一年级,9,405,20,0.049,67.8,66.0,6.6,30
SCH026,广州市第二小学,小学,广州,二年级,8,288,18,0.062,77.1,75.7,21.4,12
SCH026,广州市第二小学,小学,广州,三年级,6,228,10,0.044,69.7,70.0,14.6,28
SCH027,广州市第三小学,小学,广州,一年级,4,168,9,0.054,93.4,92.3,44.4,10
SCH027,广州市第三小学,小学,广州,二年级,6,252,14,0.056,87.8,89.8,37.5,5
SCH027,广州市第三小学,小学,广州,三年级,9,351,19,0.054,68.0,72.9,13.4,20
SCH028,广州市第四小学,小学,广州,一年级,12,528,23,0.044,63.2,58.8,4.9,5
SCH028,广州市第四小学,小学,广州,二年级,12,600,24,0.04,91.4,88.4,34.0,27
SCH028,广州市第四小学,小学,广州,三年级,6,270,11,0.041,66.7,68.7,4.5,8
SCH029,广州市第一中学,初中,广州,一年级,14,714,49,0.069,74.0,78.4,15.8,8
SCH029,广州市第一中学,初中,广州,二年级,11,539,26,0.048,93.2,95.5,39.2,25
SCH029,广州市第一中学,初中,广州,三年级,13,650,29,0.045,93.0,94.9,43.9,30
SCH030,广州市第二中学,初中,广州,一年级,11,517,31,0.06,88.1,86.9,36.1,14
SCH030,广州市第二中学,初中,广州,二年级,8,360,22,0.061,92.4,96.9,37.8,29
SCH030,广州市第二中学,初中,广州,三年级,15,615,27,0.044,72.2,75.3,15.8,25
SCH031,广州市第三中学,初中,广州,一年级,15,645,43,0.067,66.5,69.0,5.2,15
SCH031,广州市第三中学,初中,广州,二年级,8,336,21,0.062,83.4,85.7,26.4,5
SCH031,广州市第三中学,初中,广州,三年级,10,460,21,0.046,64.2,61.8,3.0,5
SCH032,广州市第四中学,初中,广州,一年级,6,312,16,0.051,75.4,72.1,17.6,17
SCH032,广州市第四中学,初中,广州,二年级,11,572,24,0.042,77.3,80.9,22.3,26
SCH032,广州市第四中学,初中,广州,三年级,9,405,21,0.052,87.6,82.9,28.3,13
SCH033,广州市第一高中,高中,广州,一年级,9,378,18,0.048,90.4,87.0,32.2,7
SCH033,广州市第一高中,高中,广州,二年级,13,715,43,0.06,75.8,77.3,20.0,18
SCH033,广州市第一高中,高中,广州,三年级,10,410,17,0.041,68.6,65.5,12.3,28
SCH034,广州市第二高中,高中,广州,一年级,19,912,54,0.059,71.5,67.5,12.7,22
SCH034,广州市第二高中,高中,广州,二年级,15,660,27,0.041,62.1,58.0,5.8,25
SCH034,广州市第二高中,高中,广州,三年级,17,935,43,0.046,62.8,59.5,3.0,7
SCH035,广州市第三高中,高中,广州,一年级,15,645,31,0.048,74.7,74.6,19.3,7
SCH035,广州市第三高中,高中,广州,二年级,18,936,42,0.045,90.3,89.0,35.8,13
SCH035,广州市第三高中,高中,广州,三年级,15,810,38,0.047,88.8,89.4,31.1,27
SCH036,广州市第四高中,高中,广州,一年级,18,774,32,0.041,73.0,73.4,20.3,23
SCH036,广州市第四高中,高中,广州,二年级,11,451,29,0.064,88.2,87.4,34.2,20
SCH036,广州市第四高中,高中,广州,三年级,17,799,43,0.054,64.5,68.5,7.5,21
SCH037,成都市第一小学,小学,成都,一年级,12,468,20,0.043,86.2,82.9,36.3,11
SCH037,成都市第一小学,小学,成都,二年级,7,273,11,0.04,64.5,66.3,3.0,25
SCH037,成都市第一小学,小学,成都,三年级,6,258,12,0.047,85.3,88.4,26.2,22
SCH038,成都市第二小学,小学,成都,一年级,10,450,29,0.064,78.6,82.8,17.4,27
SCH038,成都市第二小学,小学,成都,二年级,12,576,24,0.042,66.8,67.5,9.0,8
SCH038,成都市第二小学,小学,成都,三年级,5,190,12,0.063,89.8,93.6,39.5,13
SCH039,成都市第三小学,小学,成都,一年级,10,500,28,0.056,77.1,73.8,19.5,24
SCH039,成都市第三小学,小学,成都,二年级,10,360,18,0.05,90.1,92.0,31.6,20
SCH039,成都市第三小学,小学,成都,三年级,8,368,14,0.038,88.2,86.2,31.6,20
SCH040,成都市第四小学,小学,成都,一年级,5,210,9,0.043,93.2,92.6,43.1,13
SCH040,成都市第四小学,小学,成都,二年级,10,370,16,0.043,68.8,72.0,13.0,29
SCH040,成都市第四小学,小学,成都,三年级,12,552,35,0.063,78.5,75.1,20.3,21
SCH041,成都市第一中学,初中,成都,一年级,12,528,33,0.062,78.8,79.5,19.3,11
SCH041,成都市第一中学,初中,成都,二年级,6,282,11,0.039,63.6,62.2,3.0,16
SCH041,成都市第一中学,初中,成都,三年级,13,676,39,0.058,66.0,61.3,5.9,24
SCH042,成都市第二中学,初中,成都,一年级,13,585,40,0.068,77.2,77.7,19.1,13
SCH042,成都市第二中学,初中,成都,二年级,7,343,14,0.041,63.6,67.1,7.1,11
SCH042,成都市第二中学,初中,成都,三年级,9,423,25,0.059,70.6,69.7,7.9,29
SCH043,成都市第三中学,初中,成都,一年级,16,640,34,0.053,66.2,62.9,10.4,12
SCH043,成都市第三中学,初中,成都,二年级,10,490,30,0.061,84.7,82.5,33.6,16
SCH043,成都市第三中学,初中,成都,三年级,13,624,29,0.046,71.7,71.9,15.3,23
SCH044,成都市第四中学,初中,成都,一年级,7,280,15,0.054,83.2,86.6,26.6,25
SCH044,成都市第四中学,初中,成都,二年级,15,735,35,0.048,65.5,61.1,11.5,25
SCH044,成都市第四中学,初中,成都,三年级,11,528,25,0.047,84.8,88.7,27.7,9
SCH045,成都市第一高中,高中,成都,一年级,16,752,50,0.066,87.8,90.8,34.4,26
SCH045,成都市第一高中,高中,成都,二年级,13,572,35,0.061,83.0,88.0,25.2,18
SCH045,成都市第一高中,高中,成都,三年级,14,728,45,0.062,80.7,85.6,28.0,15
SCH046,成都市第二高中,高中,成都,一年级,19,893,54,0.06,82.4,82.2,31.3,16
SCH046,成都市第二高中,高中,成都,二年级,16,784,51,0.065,88.9,92.7,31.5,8
SCH046,成都市第二高中,高中,成都,三年级,15,660,41,0.062,85.2,85.8,34.4,26
SCH047,成都市第三高中,高中,成都,一年级,13,546,25,0.046,69.1,72.8,10.1,15
SCH047,成都市第三高中,高中,成都,二年级,13,624,35,0.056,76.8,73.0,15.7,25
SCH047,成都市第三高中,高中,成都,三年级,17,714,38,0.053,68.2,64.4,11.6,21
SCH048,成都市第四高中,高中,成都,一年级,12,636,26,0.041,89.3,85.7,32.2,18
SCH048,成都市第四高中,高中,成都,二年级,17,918,40,0.044,89.6,86.4,31.3,15
SCH048,成都市第四高中,高中,成都,三年级,18,810,40,0.049,63.9,63.4,3.0,29
SCH049,武汉市第一小学,小学,武汉,一年级,6,240,13,0.054,86.4,82.3,32.8,25
SCH049,武汉市第一小学,小学,武汉,二年级,10,470,24,0.051,77.3,72.3,21.1,28
SCH049,武汉市第一小学,小学,武汉,三年级,9,315,21,0.067,86.2,86.5,26.6,5
SCH050,武汉市第二小学,小学,武汉,一年级,7,294,17,0.058,73.0,69.3,14.4,23
SCH050,武汉市第二小学,小学,武汉,二年级,8,320,13,0.041,63.5,68.0,3.8,21
SCH050,武汉市第二小学,小学,武汉,三年级,12,540,28,0.052,84.0,80.3,33.8,20
SCH051,武汉市第三小学,小学,武汉,一年级,9,369,16,0.043,91.0,94.1,32.4,12
SCH051,武汉市第三小学,小学,武汉,二年级,6,246,15,0.061,80.9,77.6,23.7,25
SCH051,武汉市第三小学,小学,武汉,三年级,4,188,12,0.064,70.2,70.5,7.7,6
SCH052,武汉市第四小学,小学,武汉,一年级,5,175,8,0.046,65.7,65.1,3.1,13
SCH052,武汉市第四小学,小学,武汉,二年级,11,429,19,0.044,83.9,79.0,27.9,8
SCH052,武汉市第四小学,小学,武汉,三年级,12,516,30,0.058,84.4,83.6,33.3,21
SCH053,武汉市第一中学,初中,武汉,一年级,15,645,31,0.048,87.1,87.1,33.6,29
SCH053,武汉市第一中学,初中,武汉,二年级,10,460,23,0.05,75.1,71.7,18.6,11
