行业,地区,季度,用电量(万度),用水量(吨),天然气(立方米),碳排放(吨),产值(万元),能耗效率
制造业,西南,Q2,7874.5,115812,74852,6600.1,61328.7,0.64
信息技术,华北,Q4,4938.5,40482,8927,3812.9,49212.2,0.91
医疗健康,东北,Q3,2315.4,38515,17517,1864.8,27702.6,0.77
金融服务业,华南,Q3,2099.1,22807,5487,1608.8,50046.5,0.94
医疗健康,西南,Q4,2373.1,35202,16814,1973.2,29581.2,0.71
制造业,华北,Q3,7836.3,114886,80615,6191.8,61490.9,0.59
制造业,华南,Q4,9662.1,130664,106544,8092.0,68959.8,0.64
金融服务业,西南,Q4,1911.0,20944,4520,1545.4,47389.2,0.86
金融服务业,华南,Q2,1964.2,24947,5398,1561.2,57713.7,0.86
信息技术,西南,Q3,5005.4,55073,9856,4031.5,59672.9,0.93
教育行业,西南,Q2,1609.6,32029,11946,1258.4,13395.9,0.83
医疗健康,西南,Q1,2569.7,38287,17451,2133.5,27342.6,0.71
制造业,西南,Q4,9279.1,113135,90088,7702.3,60818.9,0.65
制造业,东北,Q4,11395.8,129723,119669,9067.1,70758.4,0.65
教育行业,东北,Q2,1494.7,28536,11906,1186.6,12521.5,0.84
信息技术,西南,Q2,4805.7,51841,10271,3823.5,62227.9,0.82
金融服务业,华南,Q4,1790.9,18944,4717,1407.0,42298.9,0.98
医疗健康,西南,Q3,2426.5,41569,18627,1857.6,34184.9,0.72
制造业,华东,Q1,10611.2,127997,101531,8224.6,68439.1,0.64
教育行业,华南,Q4,1748.7,33492,12595,1416.3,13538.9,0.75
信息技术,华北,Q1,5803.8,50013,11306,4754.9,52299.6,0.94
信息技术,华东,Q2,3698.4,41785,7784,2945.5,42430.2,0.95
制造业,华北,Q4,12031.0,114968,140416,9224.4,67632.6,0.62
金融服务业,华北,Q4,2581.1,23066,7672,2131.9,48916.2,0.97
教育行业,西南,Q4,1691.7,30779,12592,1403.4,12742.0,0.75
教育行业,东北,Q4,1925.6,28495,14596,1539.2,11160.7,0.77
教育行业,华东,Q2,1313.5,27426,10472,1082.6,11053.9,0.82
金融服务业,西南,Q1,1817.3,18238,5338,1407.1,43317.5,0.92
教育行业,华北,Q4,2326.7,34817,17786,1853.9,13339.2,0.77
教育行业,华南,Q2,1372.4,27360,11718,1156.3,11148.3,0.77
制造业,华南,Q3,9366.1,103124,89422,7542.4,57319.3,0.67
教育行业,华北,Q2,1562.0,32820,11006,1191.3,12028.4,0.8
医疗健康,华南,Q1,2138.5,37723,13506,1634.5,26133.0,0.76
制造业,华南,Q2,9293.4,142986,90941,7290.5,72685.9,0.61
医疗健康,东北,Q1,2928.2,41134,23724,2277.0,27371.5,0.77
信息技术,华南,Q2,4265.5,42562,7901,3422.7,52989.6,0.81
医疗健康,华北,Q4,2470.3,31346,16398,2027.9,25123.8,0.79
信息技术,西南,Q1,4894.6,46948,10465,3982.4,48253.5,0.83
