监测日期,监测站点,所在区域,PM2.5(μg/m³),PM10(μg/m³),二氧化硫(mg/m³),二氧化氮(mg/m³),臭氧(μg/m³),一氧化碳(mg/m³),噪音(dB),风速(m/s),温度(℃),湿度(%),气压(hPa)
2024-01-02,深圳南山监测站,珠三角,59.1,134.2,0.06,0.033,48.7,0.83,59.7,0.8,4.0,80,1025
2024-01-03,北京朝阳区监测站,京津冀,162.5,327.1,0.083,0.053,8.0,1.74,64.2,2.1,5.6,60,1010
2024-01-07,广州天河监测站,珠三角,72.2,130.0,0.061,0.005,41.4,1.56,67.7,4.6,0.9,93,1011
2024-01-13,上海徐汇监测站,长三角,66.8,106.6,0.06,0.035,79.8,0.81,59.1,0.6,0.9,80,1018
2024-01-14,西安雁塔监测站,关中平原,94.5,176.5,0.065,0.06,66.8,1.35,37.7,0.7,-1.6,41,1030
2024-01-15,上海浦东监测站,长三角,29.1,50.8,0.028,0.044,39.1,1.24,53.7,0.6,5.9,61,1024
2024-01-23,武汉武昌监测站,华中地区,78.5,142.2,0.054,0.053,74.2,1.39,68.2,2.4,-5.9,71,1025
2024-01-24,杭州西湖监测站,长三角,101.8,178.0,0.03,0.056,53.4,0.66,52.4,2.0,-5.7,36,1030
2024-01-26,西安雁塔监测站,关中平原,189.9,403.4,0.081,0.078,8.0,1.28,55.3,1.6,-2.0,68,1015
2024-01-28,西安雁塔监测站,关中平原,117.4,203.5,0.082,0.04,8.0,1.8,40.4,2.2,5.4,40,996
2024-01-29,成都武侯监测站,成渝地区,48.8,110.9,0.062,0.022,54.8,1.86,52.9,3.4,-6.2,54,1029
2024-01-30,杭州西湖监测站,长三角,74.4,96.9,0.05,0.055,17.0,1.85,49.5,1.5,6.8,54,1019
2024-02-03,上海徐汇监测站,长三角,21.5,34.2,0.067,0.04,18.6,0.6,58.7,4.1,2.6,82,1007
2024-02-04,武汉武昌监测站,华中地区,138.1,232.0,0.076,0.065,62.2,1.68,43.8,0.7,2.6,67,1018
2024-02-05,广州天河监测站,珠三角,3.0,6.9,0.051,0.011,46.4,1.13,59.5,11.4,10.2,54,1019
2024-02-09,上海浦东监测站,长三角,75.5,163.1,0.023,0.035,81.7,1.41,61.5,3.3,5.8,52,1009
2024-02-12,北京海淀区监测站,京津冀,146.2,231.8,0.083,0.081,18.9,1.58,66.6,2.3,-4.8,40,1018
2024-02-13,上海徐汇监测站,长三角,98.6,219.2,0.05,0.081,25.3,1.47,49.3,0.8,7.9,95,1011
2024-02-15,西安雁塔监测站,关中平原,100.3,167.5,0.058,0.035,101.5,1.51,63.5,3.6,-8.8,55,1025
2024-02-16,北京海淀区监测站,京津冀,163.3,365.2,0.081,0.046,66.9,1.94,68.9,1.3,-10.1,59,1021
2024-02-17,西安雁塔监测站,关中平原,92.4,192.0,0.07,0.077,60.6,1.21,41.7,3.4,-4.8,85,1012
2024-02-18,成都武侯监测站,成渝地区,59.8,139.4,0.04,0.064,31.2,1.34,44.0,0.4,-4.7,56,1021
2024-02-19,成都武侯监测站,成渝地区,188.5,355.5,0.07,0.075,29.6,1.74,60.4,0.9,1.1,26,1024
2024-02-20,深圳南山监测站,珠三角,168.7,400.4,0.019,0.053,46.8,1.81,46.5,0.1,11.7,49,1017
2024-02-22,西安雁塔监测站,关中平原,201.9,290.3,0.09,0.016,39.7,1.49,66.9,0.6,5.9,65,1019
2024-02-24,成都武侯监测站,成渝地区,126.2,203.4,0.048,0.065,27.4,1.69,50.7,2.8,-0.3,54,1019
2024-02-25,上海徐汇监测站,长三角,60.6,137.1,0.079,0.005,8.0,1.25,45.8,2.7,6.8,58,1011
2024-02-27,武汉武昌监测站,华中地区,77.3,176.6,0.067,0.051,29.9,1.78,58.0,0.8,-5.7,68,1032
2024-02-29,上海浦东监测站,长三角,80.7,138.3,0.003,0.03,41.3,1.01,72.6,0.4,-2.5,70,1022
2024-03-03,杭州西湖监测站,长三角,70.9,168.8,0.035,0.033,76.2,0.65,40.7,0.8,25.9,45,1009
2024-03-04,西安雁塔监测站,关中平原,66.5,103.3,0.051,0.083,63.4,1.88,64.0,1.1,16.1,69,1009
2024-03-06,北京朝阳区监测站,京津冀,86.0,126.7,0.041,0.071,65.1,1.36,55.5,0.4,11.1,93,1016
2024-03-10,西安雁塔监测站,关中平原,43.1,94.2,0.048,0.048,64.9,0.93,46.2,10.8,16.3,53,998
2024-03-13,广州天河监测站,珠三角,54.4,79.9,0.049,0.055,120.5,0.76,55.1,3.4,18.3,54,1016
2024-03-14,广州天河监测站,珠三角,79.5,173.6,0.019,0.017,104.7,0.65,51.5,0.1,16.4,21,1010
2024-03-15,上海浦东监测站,长三角,33.4,65.9,0.056,0.019,123.8,1.09,78.0,0.1,21.9,28,1012
2024-03-16,武汉武昌监测站,华中地区,46.9,62.3,0.024,0.062,103.1,0.88,52.2,2.6,22.5,70,1012
2024-03-18,广州天河监测站,珠三角,15.7,23.7,0.031,0.047,98.8,1.32,68.0,9.8,13.5,76,1017
2024-03-19,武汉武昌监测站,华中地区,49.9,97.0,0.029,0.06,104.6,1.02,58.1,2.0,18.2,58,1016
2024-03-21,武汉武昌监测站,华中地区,53.5,77.3,0.056,0.025,104.6,0.75,57.2,3.8,21.2,59,1018
2024-03-26,深圳南山监测站,珠三角,52.0,90.4,0.009,0.019,69.0,1.15,45.1,1.6,22.2,78,1013
2024-03-28,北京海淀区监测站,京津冀,80.4,122.0,0.068,0.038,56.1,1.12,58.4,2.9,7.5,48,1017
2024-03-30,上海徐汇监测站,长三角,89.7,180.8,0.047,0.025,82.5,1.56,48.0,0.1,19.7,39,1027
2024-03-31,北京海淀区监测站,京津冀,97.1,171.5,0.021,0.035,86.8,1.67,53.4,0.5,9.1,59,1015
2024-04-01,武汉武昌监测站,华中地区,21.9,35.1,0.053,0.035,119.9,1.3,54.4,1.8,21.5,75,1007
2024-04-02,深圳南山监测站,珠三角,53.7,92.3,0.003,0.042,83.8,0.55,41.6,0.1,15.1,91,1015
2024-04-03,上海浦东监测站,长三角,102.6,235.8,0.022,0.068,73.0,1.2,49.4,1.3,10.0,65,1002
2024-04-07,上海浦东监测站,长三角,74.8,103.1,0.053,0.006,94.0,0.34,54.5,1.1,25.8,50,1003
2024-04-08,北京海淀区监测站,京津冀,83.3,148.7,0.035,0.035,131.1,1.31,60.4,3.1,20.4,49,1014
2024-04-09,成都武侯监测站,成渝地区,83.0,195.9,0.011,0.056,99.4,1.21,74.1,2.9,21.5,59,1003
2024-04-10,武汉武昌监测站,华中地区,60.7,88.0,0.035,0.047,87.0,0.66,48.1,1.5,14.8,63,1020
2024-04-11,深圳南山监测站,珠三角,58.4,126.5,0.047,0.029,59.6,0.74,66.0,7.3,26.7,62,990
2024-04-12,上海浦东监测站,长三角,50.6,89.4,0.052,0.035,50.1,0.74,58.3,1.7,17.1,75,1019
2024-04-13,杭州西湖监测站,长三角,24.1,42.1,0.016,0.017,92.5,0.69,43.3,9.7,25.3,77,1018
2024-04-14,上海徐汇监测站,长三角,61.5,106.9,0.05,0.068,86.9,0.4,37.5,3.1,11.5,51,1026
2024-04-16,西安雁塔监测站,关中平原,74.7,160.5,0.033,0.05,96.4,1.38,63.9,3.2,21.1,91,1003
2024-04-17,西安雁塔监测站,关中平原,56.4,132.4,0.033,0.032,78.4,1.06,51.0,1.9,23.0,37,1001
2024-04-23,广州天河监测站,珠三角,38.7,63.6,0.019,0.028,94.1,1.01,63.0,1.0,21.6,58,1007
2024-04-27,深圳南山监测站,珠三角,53.8,102.1,0.035,0.005,97.4,1.53,52.3,1.4,19.7,80,1014
2024-04-28,西安雁塔监测站,关中平原,107.6,149.3,0.041,0.033,83.7,0.77,41.1,5.9,13.8,62,1014
2024-05-03,杭州西湖监测站,长三角,25.7,51.6,0.06,0.044,86.2,1.25,61.5,11.1,22.8,48,1004
2024-05-05,杭州西湖监测站,长三角,25.9,34.7,0.043,0.007,64.1,1.07,54.4,3.3,17.3,87,1023
2024-05-08,杭州西湖监测站,长三角,34.7,65.6,0.014,0.005,32.2,0.97,54.1,1.5,13.4,60,1004
2024-05-09,北京海淀区监测站,京津冀,120.3,183.3,0.005,0.021,40.6,1.35,53.7,1.3,13.9,77,1016
2024-05-12,成都武侯监测站,成渝地区,72.2,110.9,0.019,0.047,71.9,1.27,44.0,0.8,17.5,57,1015
2024-05-13,北京朝阳区监测站,京津冀,49.1,68.5,0.062,0.048,68.0,2.0,51.2,1.2,9.2,53,1012
2024-05-14,北京朝阳区监测站,京津冀,61.3,103.3,0.005,0.086,101.9,1.79,64.1,1.3,19.5,58,1017
2024-05-17,杭州西湖监测站,长三角,88.9,197.0,0.032,0.053,99.1,1.03,55.9,2.8,23.2,82,1017
2024-05-18,北京朝阳区监测站,京津冀,60.8,123.6,0.067,0.073,50.7,0.95,48.0,8.0,17.9,59,1012
2024-05-19,武汉武昌监测站,华中地区,11.5,16.1,0.032,0.079,131.4,0.44,34.7,11.3,8.9,75,1039
2024-05-21,上海徐汇监测站,长三角,62.8,130.5,0.03,0.024,103.8,1.08,61.9,4.0,15.8,58,1003
2024-05-22,武汉武昌监测站,华中地区,50.9,111.3,0.041,0.028,60.1,0.75,59.2,1.5,8.4,64,1003
2024-05-23,广州天河监测站,珠三角,26.4,49.9,0.027,0.015,123.1,0.66,53.4,5.2,25.3,85,1005
2024-05-24,上海徐汇监测站,长三角,73.0,132.8,0.065,0.075,84.1,0.97,53.0,1.0,24.3,59,1021
2024-05-27,杭州西湖监测站,长三角,35.5,64.8,0.031,0.024,110.6,0.97,57.9,0.4,21.0,61,1018
2024-05-29,广州天河监测站,珠三角,56.2,110.5,0.011,0.005,111.1,0.84,55.9,2.1,18.0,48,1010
2024-05-31,杭州西湖监测站,长三角,8.1,16.3,0.043,0.019,36.8,0.59,48.0,13.8,16.6,67,1025
2024-06-01,成都武侯监测站,成渝地区,50.9,110.0,0.016,0.024,95.4,0.72,50.2,1.0,24.3,78,1008
2024-06-03,西安雁塔监测站,关中平原,33.4,77.2,0.03,0.048,128.9,0.83,73.6,3.0,23.0,93,1018
2024-06-04,成都武侯监测站,成渝地区,45.8,101.1,0.037,0.066,148.4,0.71,46.8,0.8,34.1,98,1012
2024-06-05,北京海淀区监测站,京津冀,47.0,80.4,0.021,0.069,81.8,0.77,57.5,0.1,24.1,78,1016
2024-06-06,深圳南山监测站,珠三角,5.7,8.6,0.003,0.012,116.8,0.38,64.4,0.2,36.6,77,1005
2024-06-07,北京朝阳区监测站,京津冀,48.2,111.0,0.043,0.075,157.2,1.51,68.8,0.2,29.2,82,1022
2024-06-08,西安雁塔监测站,关中平原,40.9,97.0,0.036,0.087,153.1,1.05,57.9,1.6,29.0,82,1010
2024-06-10,上海徐汇监测站,长三角,24.7,36.1,0.018,0.019,180.2,0.5,52.3,3.6,37.0,71,1000
2024-06-11,广州天河监测站,珠三角,23.1,37.0,0.003,0.005,156.9,0.94,47.1,7.5,40.6,98,1006
2024-06-12,武汉武昌监测站,华中地区,33.2,50.0,0.05,0.074,53.5,1.04,70.8,3.0,28.3,67,1004
2024-06-13,上海徐汇监测站,长三角,15.9,25.3,0.048,0.055,155.6,1.39,51.0,2.9,30.0,94,1011
2024-06-17,北京海淀区监测站,京津冀,70.6,144.6,0.022,0.102,163.8,0.76,67.9,2.0,28.0,81,1000
