交易日期,股票代码,股票名称,开盘价,收盘价,最高价,最低价,成交量,成交额
2024-01-02,600519,贵州茅台,1130.55,1123.92,1147.27,1116.51,8290798,931816.69
2024-01-03,600519,贵州茅台,1144.75,1151.24,1155.46,1139.36,5881801,677137.97
2024-01-04,600519,贵州茅台,1125.33,1111.34,1132.19,1107.41,5576433,619732.2
2024-01-05,600519,贵州茅台,1123.97,1101.32,1130.55,1085.63,4950258,545183.28
2024-01-08,600519,贵州茅台,1089.3,1103.43,1121.58,1085.54,3468513,382726.06
2024-01-09,600519,贵州茅台,1108.86,1135.28,1143.06,1099.97,8316974,944208.83
2024-01-10,600519,贵州茅台,1119.77,1136.66,1138.19,1118.99,1859268,211334.69
2024-01-11,600519,贵州茅台,1145.35,1185.08,1196.45,1137.69,7979909,945679.3
2024-01-12,600519,贵州茅台,1140.41,1137.09,1148.01,1134.94,4226030,480536.47
2024-01-15,600519,贵州茅台,1169.19,1184.07,1205.8,1163.27,6504892,770225.0
2024-01-16,600519,贵州茅台,1164.02,1139.81,1165.32,1137.85,8760592,998540.86
2024-01-17,600519,贵州茅台,1141.04,1164.09,1173.1,1140.95,9928213,1155737.34
2024-01-18,600519,贵州茅台,1153.65,1127.62,1156.48,1118.66,9683490,1091932.81
2024-01-19,600519,贵州茅台,1062.88,1077.17,1081.72,1050.88,6685894,720186.8
2024-01-22,600519,贵州茅台,1024.86,1005.02,1039.29,1003.27,9345406,939234.46
2024-01-23,600519,贵州茅台,974.66,958.24,983.94,942.92,8579899,822163.88
2024-01-24,600519,贵州茅台,956.47,962.22,969.8,952.1,7970579,766941.37
2024-01-25,600519,贵州茅台,963.58,955.23,967.55,943.84,8589573,820502.27
2024-01-26,600519,贵州茅台,937.64,915.57,942.75,914.88,1769090,161971.99
2024-01-29,600519,贵州茅台,896.27,907.1,912.95,895.31,1211545,109899.47
2024-01-30,600519,贵州茅台,905.9,924.6,928.33,887.46,6216658,574789.28
2024-01-31,600519,贵州茅台,954.41,944.78,957.66,937.76,4707011,444710.89
2024-02-01,600519,贵州茅台,942.67,955.48,991.4,940.86,7636371,729637.67
2024-02-02,600519,贵州茅台,964.91,948.59,970.3,943.22,9562180,907055.22
2024-02-05,600519,贵州茅台,960.85,962.57,969.59,956.61,9965719,959272.14
2024-02-06,600519,贵州茅台,977.06,984.98,995.44,973.9,118179,11640.35
2024-02-07,600519,贵州茅台,1008.34,996.11,1020.68,986.81,3567758,355386.99
2024-02-08,600519,贵州茅台,984.55,979.29,989.25,978.14,2988899,292701.06
2024-02-09,600519,贵州茅台,991.47,999.96,1008.1,985.81,6342870,634261.59
2024-02-12,600519,贵州茅台,1012.22,1014.28,1015.55,990.81,2158591,218940.92
2024-02-13,600519,贵州茅台,1014.36,1023.06,1026.96,1000.93,7336444,750562.79
2024-02-14,600519,贵州茅台,1022.38,995.97,1023.44,995.14,4377214,435957.29
2024-02-15,600519,贵州茅台,978.55,992.35,999.42,974.53,6843485,679111.93
2024-02-16,600519,贵州茅台,977.97,986.41,989.32,973.44,132646,13084.35
2024-02-19,600519,贵州茅台,1008.26,983.53,1008.91,975.01,9171706,902067.4
2024-02-20,600519,贵州茅台,974.3,1003.45,1006.36,967.41,5911056,593143.67
2024-02-21,600519,贵州茅台,1018.74,1008.16,1023.48,997.6,3539540,356843.94
2024-02-22,600519,贵州茅台,1031.24,1025.4,1044.21,1019.93,1186706,121684.74
2024-02-23,600519,贵州茅台,1040.77,1029.31,1047.57,1022.45,1561215,160697.02
2024-02-26,600519,贵州茅台,1052.06,1034.46,1054.71,1033.11,1340505,138670.21
2024-02-27,600519,贵州茅台,1040.95,1026.28,1059.77,1019.93,9562140,981338.82
2024-02-28,600519,贵州茅台,1035.63,1048.08,1054.45,1030.61,7043616,738225.32
2024-02-29,600519,贵州茅台,1080.47,1072.52,1083.52,1060.49,4017563,430889.7
2024-03-01,600519,贵州茅台,1030.66,1017.52,1030.86,993.12,8378479,852524.0
2024-03-04,600519,贵州茅台,1029.11,1041.03,1045.55,1022.71,3205381,333691.07
