医院,科室,城市,月份,门诊量(人次),住院人数,平均住院天数,床位使用率(%),医疗收入(万元),药品占比(%)
中山医院,儿科,广州,4月,7845,880,6.4,78.0,973.0,47.8
协和医院,妇产科,北京,6月,5700,1071,7.2,89.0,1155.7,34.5
中山医院,内科,广州,2月,12860,1548,8.7,89.6,2102.0,40.9
中山医院,妇产科,广州,3月,4641,916,6.4,84.9,902.7,29.0
同济医院,内科,武汉,4月,7675,1034,9.1,92.4,1494.6,40.0
同济医院,妇产科,武汉,4月,4576,929,6.6,84.3,844.4,27.7
华西医院,儿科,成都,4月,7985,1069,6.0,74.9,1014.5,52.5
同济医院,妇产科,武汉,1月,4871,818,7.2,86.8,842.5,34.3
华西医院,妇产科,成都,5月,5403,1167,6.9,80.6,1090.9,32.7
瑞金医院,儿科,上海,5月,9109,1046,6.0,79.9,1163.5,51.5
瑞金医院,儿科,上海,3月,7988,870,5.6,74.3,916.3,52.7
华西医院,妇产科,成都,1月,5728,1253,6.4,90.9,1235.2,31.5
同济医院,儿科,成都,1月,9029,819,5.4,82.5,939.5,47.7
中山医院,儿科,广州,5月,9689,1090,6.3,76.6,1157.2,54.2
瑞金医院,内科,上海,5月,9595,1453,9.5,91.0,1999.7,41.0
协和医院,妇产科,北京,2月,4557,1062,6.3,83.5,920.7,30.3
同济医院,外科,武汉,2月,4551,1177,10.3,93.0,1558.0,39.4
瑞金医院,儿科,上海,6月,10443,1120,5.4,77.3,1094.9,52.9
瑞金医院,儿科,上海,4月,8711,954,5.4,76.6,927.8,50.0
中山医院,内科,广州,6月,8046,1370,9.1,93.7,1920.2,47.5
中山医院,外科,上海,5月,6687,1620,10.7,94.7,2393.6,41.4
协和医院,内科,北京,3月,9633,1451,7.9,92.9,1693.3,44.2
华西医院,外科,广州,5月,7485,1978,11.0,89.1,3045.8,37.8
中山医院,儿科,广州,1月,9652,953,6.1,80.1,1046.9,55.5
协和医院,儿科,北京,5月,10915,1089,5.7,79.7,1135.8,53.7
中山医院,外科,广州,6月,6931,1729,9.9,90.9,2183.9,42.5
中山医院,妇产科,广州,1月,5430,910,6.5,87.0,951.8,34.5
瑞金医院,外科,上海,4月,7275,1695,11.3,89.4,2653.3,35.2
瑞金医院,外科,上海,3月,7073,1667,11.4,90.3,2507.7,34.9
协和医院,妇产科,北京,1月,6170,1215,5.9,88.4,1049.8,26.3
同济医院,外科,武汉,1月,5545,1327,11.1,89.9,1866.7,42.0
协和医院,儿科,武汉,2月,10518,1298,5.3,72.2,1282.1,49.4
协和医院,妇产科,北京,4月,6015,1076,6.6,90.3,1001.8,32.8
同济医院,儿科,武汉,4月,6198,850,6.3,77.1,823.0,54.1
瑞金医院,内科,上海,1月,10637,1671,8.7,90.5,2107.8,46.0
中山医院,妇产科,广州,5月,4635,1045,7.1,86.8,1112.4,32.2
华西医院,妇产科,成都,4月,5574,1127,6.4,80.1,1064.7,31.7
协和医院,内科,北京,1月,13967,1843,7.8,93.5,2278.1,46.7
