物流公司,起点,终点,运输方式,月份,运单量(件),运输成本(元),运输时效(天),破损率(%),客户满意度(分)
顺丰速运,北京,深圳,公路运输,4月,10702,99254.55,1.9,0.13,91.7
顺丰速运,上海,广州,航空运输,10月,10295,214058.36,0.8,0.04,94.4
顺丰速运,上海,成都,铁路运输,5月,10759,103983.77,2.8,0.06,95.7
申通快递,广州,北京,航空运输,8月,11119,126000.02,2.1,0.23,82.6
中通快递,成都,上海,航空运输,2月,7702,77926.18,1.3,0.11,84.9
中通快递,上海,深圳,铁路运输,4月,15765,80064.4,4.6,0.28,86.2
京东物流,上海,成都,铁路运输,5月,11468,89155.34,3.4,0.16,93.4
京东物流,北京,深圳,铁路运输,5月,8698,73651.36,3.8,0.11,92.0
圆通速递,上海,深圳,公路运输,4月,13955,71206.47,4.2,0.44,83.3
京东物流,成都,深圳,公路运输,1月,11083,78917.87,2.2,0.2,91.4
申通快递,深圳,广州,航空运输,1月,11594,109168.02,1.7,0.22,81.2
中通快递,深圳,上海,铁路运输,1月,17042,83857.43,5.6,0.2,88.1
中通快递,成都,上海,公路运输,6月,18430,109425.44,3.6,0.32,83.6
中通快递,广州,上海,公路运输,4月,16701,95034.46,4.4,0.26,87.3
京东物流,上海,成都,航空运输,3月,9295,195559.94,1.0,0.08,93.1
京东物流,广州,成都,航空运输,11月,16932,300674.26,0.8,0.05,92.3
申通快递,上海,北京,公路运输,12月,16060,89109.72,4.5,0.39,82.8
京东物流,成都,上海,航空运输,10月,10228,176798.0,0.9,0.06,92.8
中通快递,深圳,成都,铁路运输,12月,22221,97564.48,5.6,0.31,84.0
京东物流,上海,成都,公路运输,7月,9050,83001.34,2.1,0.23,93.8
顺丰速运,北京,上海,公路运输,4月,10798,103337.07,2.1,0.09,93.4
圆通速递,广州,成都,铁路运输,7月,13766,63908.33,6.2,0.29,82.4
京东物流,北京,上海,航空运输,6月,11365,231484.98,0.9,0.1,89.9
京东物流,北京,上海,航空运输,4月,9711,214708.47,1.1,0.05,89.9
申通快递,成都,广州,铁路运输,4月,11560,40060.99,4.9,0.36,81.8
顺丰速运,北京,成都,航空运输,10月,13785,250111.59,0.7,0.06,95.9
京东物流,广州,深圳,公路运输,8月,11001,103764.37,2.9,0.21,89.5
申通快递,广州,北京,公路运输,5月,9730,38967.45,3.7,0.51,83.1
京东物流,广州,成都,铁路运输,1月,8776,60003.77,2.6,0.16,92.7
中通快递,上海,成都,航空运输,12月,19552,214668.19,1.5,0.15,87.7
申通快递,成都,上海,铁路运输,3月,9488,38158.01,6.5,0.23,81.3
京东物流,北京,深圳,航空运输,7月,11421,255166.54,1.0,0.06,93.5
京东物流,深圳,北京,公路运输,12月,18194,157754.59,2.5,0.16,90.3
顺丰速运,深圳,北京,铁路运输,4月,10918,104619.24,3.5,0.11,92.6
京东物流,深圳,广州,铁路运输,2月,6941,52307.69,3.7,0.14,94.2
顺丰速运,广州,上海,航空运输,5月,10337,232039.84,1.0,0.05,96.4
