生产日期,工厂编号,工厂名称,所在城市,产品类别,产线编号,班次,产量(件),合格率(%),废品率(%),生产成本(万元),能耗(kWh),工时(小时),设备利用率(%)
2024-01-01,F006,东北制造厂,沈阳,化工材料,L05,早班,2328,87.0,0.6,38.33,36741,6,82.4
2024-01-03,F001,华东制造一厂,上海,汽车零部件,L04,夜班,717,93.1,3.6,36.56,28493,7,77.1
2024-01-25,F003,华南制造厂,深圳,汽车零部件,L07,中班,2776,87.3,4.8,20.15,7078,9,63.7
2024-05-09,F003,华南制造厂,深圳,电子元器件,L08,夜班,1522,99.1,2.0,29.84,24700,10,67.3
2024-01-22,F001,华东制造一厂,上海,汽车零部件,L05,早班,2407,97.6,2.0,25.4,24909,7,74.1
2024-06-09,F002,华东制造二厂,苏州,化工材料,L02,夜班,1901,92.7,1.3,25.8,18691,11,86.2
2024-06-11,F002,华东制造二厂,苏州,电子元器件,L04,早班,3084,90.8,0.4,46.09,38170,11,72.0
2024-04-13,F006,东北制造厂,沈阳,化工材料,L08,早班,2669,87.0,3.8,29.25,39311,9,94.1
2024-03-08,F004,华北制造厂,天津,汽车零部件,L08,早班,885,97.5,0.8,12.2,28666,10,62.4
2024-05-15,F004,华北制造厂,天津,金属制品,L05,夜班,594,94.9,0.7,44.82,18486,12,84.4
2024-03-14,F001,华东制造一厂,上海,汽车零部件,L08,早班,2657,99.1,3.8,27.85,7973,12,83.8
2024-05-20,F006,东北制造厂,沈阳,汽车零部件,L03,中班,1823,92.8,3.9,28.87,1037,10,72.3
2024-01-12,F001,华东制造一厂,上海,机械装备,L04,早班,2473,97.7,4.7,8.85,32849,12,62.6
2024-02-05,F005,西南制造厂,成都,化工材料,L08,夜班,1852,88.8,4.4,24.04,14880,10,88.7
2024-02-23,F006,东北制造厂,沈阳,机械装备,L07,夜班,3559,91.4,2.6,10.45,15725,6,72.8
2024-05-08,F005,西南制造厂,成都,金属制品,L04,早班,1081,95.3,0.4,8.03,3058,12,72.6
2024-02-09,F005,西南制造厂,成都,化工材料,L08,早班,4917,86.9,4.7,30.7,31976,7,89.8
2024-02-04,F004,华北制造厂,天津,电子元器件,L07,中班,3969,91.0,4.3,7.44,7449,6,75.3
2024-01-08,F003,华南制造厂,深圳,汽车零部件,L04,夜班,4175,87.0,1.0,25.82,5940,9,90.7
2024-01-02,F005,西南制造厂,成都,化工材料,L01,早班,2436,87.4,2.5,14.62,27282,6,66.3
2024-04-09,F001,华东制造一厂,上海,塑料制品,L05,中班,4486,87.2,1.6,48.59,38957,11,80.6
2024-03-02,F006,东北制造厂,沈阳,电子元器件,L08,夜班,4850,87.3,4.8,8.61,13178,6,82.6
2024-02-13,F006,东北制造厂,沈阳,电子元器件,L04,夜班,825,94.0,2.2,31.27,35261,8,95.5
2024-06-23,F002,华东制造二厂,苏州,机械装备,L04,中班,3742,86.9,3.3,25.58,5754,6,77.4
2024-01-03,F005,西南制造厂,成都,金属制品,L04,夜班,2672,86.9,1.8,8.1,17009,8,70.8
2024-05-23,F004,华北制造厂,天津,机械装备,L01,夜班,2952,98.5,0.6,44.52,18332,6,93.8
2024-05-05,F006,东北制造厂,沈阳,机械装备,L05,夜班,2225,95.4,1.1,33.54,18300,10,78.6
2024-01-21,F001,华东制造一厂,上海,塑料制品,L05,早班,529,89.8,0.7,49.09,11589,11,76.8
2024-04-18,F006,东北制造厂,沈阳,电子元器件,L02,早班,1721,92.9,4.2,31.21,10705,9,64.8
2024-03-26,F003,华南制造厂,深圳,电子元器件,L06,早班,2544,94.7,1.8,30.19,27632,10,88.5
2024-02-26,F002,华东制造二厂,苏州,汽车零部件,L07,早班,1969,95.7,1.7,46.89,17263,8,66.0
2024-01-13,F006,东北制造厂,沈阳,电子元器件,L08,早班,2134,96.8,2.4,18.73,15915,7,60.9
2024-04-11,F002,华东制造二厂,苏州,机械装备,L02,中班,3376,94.3,2.1,49.15,36141,8,95.7
2024-03-06,F001,华东制造一厂,上海,金属制品,L05,早班,1388,93.7,1.8,40.39,29599,10,97.4
2024-04-19,F001,华东制造一厂,上海,汽车零部件,L05,早班,4072,85.0,4.6,29.23,13912,8,76.4
2024-03-20,F006,东北制造厂,沈阳,机械装备,L02,夜班,2960,92.4,3.4,19.68,20376,10,64.8
2024-06-13,F004,华北制造厂,天津,化工材料,L03,夜班,2965,90.9,4.2,18.67,14774,9,89.9
2024-06-11,F005,西南制造厂,成都,塑料制品,L08,中班,2250,92.4,4.0,48.19,12120,11,63.2
2024-06-21,F005,西南制造厂,成都,金属制品,L06,早班,2424,94.8,1.2,13.96,2600,6,69.3
2024-05-28,F004,华北制造厂,天津,电子元器件,L08,中班,2092,95.4,2.0,22.98,10671,11,86.1
2024-04-08,F001,华东制造一厂,上海,汽车零部件,L08,早班,2541,98.3,0.7,11.0,31450,11,80.2
2024-05-11,F005,西南制造厂,成都,塑料制品,L07,夜班,4152,98.0,3.7,26.36,17986,12,69.4
2024-03-25,F006,东北制造厂,沈阳,金属制品,L08,夜班,2459,89.0,0.5,17.86,18807,8,72.1
2024-01-05,F005,西南制造厂,成都,汽车零部件,L04,中班,1751,95.2,0.4,23.34,36560,9,75.8
2024-04-13,F002,华东制造二厂,苏州,金属制品,L01,夜班,3616,91.9,4.7,18.44,26558,12,93.9
2024-05-24,F004,华北制造厂,天津,化工材料,L04,中班,2297,89.0,2.5,22.5,27497,11,66.3
2024-02-20,F004,华北制造厂,天津,金属制品,L01,中班,722,86.2,2.2,44.01,12909,6,69.9
2024-02-15,F003,华南制造厂,深圳,机械装备,L06,中班,2779,95.9,4.2,16.35,6367,9,60.7
2024-01-12,F005,西南制造厂,成都,汽车零部件,L02,夜班,829,95.9,4.8,13.97,2335,10,65.8
2024-04-22,F002,华东制造二厂,苏州,电子元器件,L04,中班,2599,96.1,0.9,32.33,8506,12,91.1
2024-01-19,F003,华南制造厂,深圳,电子元器件,L05,夜班,3574,90.8,3.6,8.42,16915,6,86.5
2024-06-20,F003,华南制造厂,深圳,电子元器件,L01,中班,4864,91.2,1.9,27.77,23362,6,92.3
2024-01-14,F004,华北制造厂,天津,机械装备,L08,夜班,1753,91.3,3.7,48.45,18700,10,90.7
2024-04-15,F005,西南制造厂,成都,塑料制品,L05,中班,2511,97.0,0.5,44.67,16981,12,77.7
2024-06-13,F005,西南制造厂,成都,机械装备,L01,中班,3162,87.6,1.1,40.9,23304,8,93.5
2024-03-18,F006,东北制造厂,沈阳,电子元器件,L04,早班,2477,95.4,2.5,39.12,32201,11,87.1
2024-01-03,F004,华北制造厂,天津,机械装备,L04,中班,2493,89.4,2.9,26.3,35794,8,76.2
2024-05-11,F006,东北制造厂,沈阳,机械装备,L08,中班,3011,88.6,0.7,13.67,8835,11,80.4
2024-02-07,F006,东北制造厂,沈阳,汽车零部件,L08,中班,4797,93.7,4.9,42.47,20414,7,73.7
2024-01-23,F003,华南制造厂,深圳,金属制品,L03,中班,872,99.1,2.8,36.38,9275,11,93.0
2024-01-28,F004,华北制造厂,天津,电子元器件,L05,中班,4421,91.4,1.0,7.31,32308,6,91.2
2024-04-03,F004,华北制造厂,天津,金属制品,L01,早班,1722,96.8,4.8,8.83,17265,6,81.2
2024-05-20,F004,华北制造厂,天津,金属制品,L04,夜班,3616,91.5,2.3,43.71,29103,8,81.6
2024-05-24,F001,华东制造一厂,上海,电子元器件,L04,夜班,2228,88.8,0.5,15.79,37175,6,65.9
2024-04-23,F004,华北制造厂,天津,金属制品,L08,中班,767,88.4,3.6,36.63,30755,6,86.1
2024-06-19,F003,华南制造厂,深圳,化工材料,L04,中班,1440,92.9,3.3,45.88,10321,6,62.3
2024-05-24,F003,华南制造厂,深圳,金属制品,L05,中班,1518,91.8,1.6,23.11,18841,10,80.5
2024-01-20,F004,华北制造厂,天津,电子元器件,L07,夜班,3140,93.8,0.2,15.3,38696,10,96.1
2024-03-19,F006,东北制造厂,沈阳,电子元器件,L03,中班,4751,94.4,4.6,13.17,39360,9,84.1
2024-01-16,F004,华北制造厂,天津,机械装备,L07,中班,3130,94.7,4.3,19.84,33471,8,85.2
2024-05-02,F004,华北制造厂,天津,塑料制品,L02,中班,2567,89.7,4.9,23.19,34724,12,97.5
2024-05-15,F006,东北制造厂,沈阳,塑料制品,L01,早班,4747,90.2,3.8,33.14,4382,7,70.1
2024-03-15,F002,华东制造二厂,苏州,化工材料,L08,早班,736,99.1,3.1,15.77,11379,8,80.9
2024-04-03,F005,西南制造厂,成都,汽车零部件,L02,中班,1462,94.4,0.9,46.97,20127,10,86.8
2024-04-16,F004,华北制造厂,天津,汽车零部件,L08,夜班,1684,90.6,4.6,27.87,9946,12,62.7
2024-03-26,F004,华北制造厂,天津,金属制品,L05,早班,2817,95.5,4.2,31.1,33089,12,65.6
2024-04-12,F005,西南制造厂,成都,机械装备,L07,中班,3136,97.6,4.9,15.75,26098,7,92.5
2024-01-11,F004,华北制造厂,天津,化工材料,L08,夜班,3623,90.6,3.4,41.93,10968,9,96.7
2024-05-19,F002,华东制造二厂,苏州,机械装备,L02,中班,1316,92.6,2.3,37.51,27868,12,84.9
2024-01-16,F002,华东制造二厂,苏州,机械装备,L06,夜班,3756,94.4,4.3,43.36,35971,9,96.3
2024-06-25,F006,东北制造厂,沈阳,塑料制品,L01,夜班,1060,88.4,3.5,17.93,15908,11,63.4
2024-06-23,F001,华东制造一厂,上海,电子元器件,L08,早班,2953,98.1,0.3,40.83,20226,8,74.2
2024-02-17,F002,华东制造二厂,苏州,塑料制品,L03,早班,1934,86.1,4.4,32.89,16783,9,94.7
2024-02-15,F002,华东制造二厂,苏州,化工材料,L05,中班,2591,94.7,4.5,25.94,19850,11,80.8
2024-04-12,F001,华东制造一厂,上海,金属制品,L05,夜班,3975,95.0,2.3,18.6,26211,12,78.4
2024-04-19,F002,华东制造二厂,苏州,机械装备,L05,夜班,2918,85.3,4.2,22.81,1530,10,92.9
2024-01-20,F006,东北制造厂,沈阳,化工材料,L08,中班,2385,93.8,1.8,33.65,17425,11,88.7
2024-06-27,F006,东北制造厂,沈阳,汽车零部件,L02,夜班,822,89.5,2.3,31.08,9612,6,94.6
2024-06-14,F003,华南制造厂,深圳,汽车零部件,L04,早班,4918,97.7,1.9,27.58,18860,12,66.3
2024-03-24,F004,华北制造厂,天津,机械装备,L02,中班,1116,87.0,4.8,43.71,27044,12,90.6
2024-01-26,F003,华南制造厂,深圳,塑料制品,L01,中班,4895,86.8,1.9,38.71,18181,10,74.5
2024-03-04,F006,东北制造厂,沈阳,化工材料,L04,中班,705,94.0,4.7,19.76,15507,11,62.4
2024-06-10,F004,华北制造厂,天津,化工材料,L07,早班,1645,85.7,0.3,49.82,8610,6,68.9
2024-02-13,F005,西南制造厂,成都,塑料制品,L06,夜班,4925,91.1,3.7,11.95,28189,11,63.8
2024-05-14,F004,华北制造厂,天津,机械装备,L01,夜班,3535,88.2,2.3,15.63,24768,6,97.3
2024-05-21,F003,华南制造厂,深圳,机械装备,L01,中班,2760,87.8,0.7,43.16,30800,6,85.2
2024-06-20,F006,东北制造厂,沈阳,电子元器件,L01,中班,2495,99.3,4.0,14.23,37320,7,82.3
2024-03-25,F002,华东制造二厂,苏州,汽车零部件,L01,中班,1685,99.3,2.7,40.93,8204,11,92.9
2024-01-12,F002,华东制造二厂,苏州,汽车零部件,L06,早班,1927,88.8,0.7,23.94,8448,11,62.4
2024-03-17,F004,华北制造厂,天津,金属制品,L02,中班,4627,88.2,3.1,37.73,35173,8,77.4
2024-01-16,F001,华东制造一厂,上海,塑料制品,L07,夜班,1384,92.1,4.6,8.31,6294,8,83.1
2024-02-09,F001,华东制造一厂,上海,金属制品,L06,中班,4846,89.3,2.6,24.36,8498,12,84.9
2024-06-28,F005,西南制造厂,成都,汽车零部件,L07,中班,2371,91.0,4.2,22.94,7231,8,76.2
2024-03-12,F006,东北制造厂,沈阳,汽车零部件,L08,早班,1247,97.1,0.6,9.35,25421,12,64.9
2024-05-18,F001,华东制造一厂,上海,金属制品,L06,夜班,1501,91.0,4.4,47.35,28717,12,94.8
2024-03-20,F001,华东制造一厂,上海,机械装备,L06,早班,4656,88.1,3.3,15.09,8092,8,92.1
2024-01-25,F003,华南制造厂,深圳,机械装备,L04,中班,715,93.8,3.3,36.21,2897,7,70.4
2024-03-12,F003,华南制造厂,深圳,电子元器件,L03,早班,3783,86.0,3.7,48.73,7013,11,80.2
2024-04-15,F004,华北制造厂,天津,机械装备,L03,中班,3052,95.5,3.9,30.54,6567,6,65.9
2024-01-22,F005,西南制造厂,成都,电子元器件,L05,中班,3973,92.0,2.3,17.29,34577,6,73.1
2024-03-22,F001,华东制造一厂,上海,化工材料,L08,夜班,3026,85.7,2.0,31.97,1503,7,71.5
2024-02-25,F002,华东制造二厂,苏州,机械装备,L05,中班,1482,85.1,3.8,12.91,25917,10,86.7
2024-05-27,F005,西南制造厂,成都,化工材料,L06,早班,3752,97.5,0.3,5.84,6102,12,71.9
2024-05-13,F004,华北制造厂,天津,化工材料,L07,中班,1443,90.9,4.8,12.73,31152,12,86.2
2024-01-14,F003,华南制造厂,深圳,电子元器件,L04,中班,3780,92.6,2.0,18.96,23250,7,72.7
2024-01-17,F002,华东制造二厂,苏州,化工材料,L02,夜班,4677,87.8,3.9,20.8,10679,7,63.9
2024-02-06,F003,华南制造厂,深圳,金属制品,L03,夜班,1117,87.6,3.9,27.24,37944,12,82.0
2024-05-21,F006,东北制造厂,沈阳,化工材料,L06,夜班,3089,87.2,0.4,24.9,20845,12,70.4
2024-03-17,F001,华东制造一厂,上海,电子元器件,L05,中班,4202,85.5,1.9,17.92,6917,10,82.6
2024-04-19,F004,华北制造厂,天津,金属制品,L01,中班,2042,89.7,2.4,11.79,5054,9,63.9
2024-06-03,F003,华南制造厂,深圳,金属制品,L03,早班,2529,95.3,5.0,28.58,11403,8,74.2
2024-04-14,F003,华南制造厂,深圳,机械装备,L01,夜班,3241,86.0,0.6,35.53,19621,8,87.5
2024-05-28,F006,东北制造厂,沈阳,汽车零部件,L06,早班,1658,98.3,1.6,34.52,26687,7,82.6
2024-03-18,F001,华东制造一厂,上海,塑料制品,L06,早班,4812,86.4,3.4,27.88,2194,8,71.7
2024-03-25,F002,华东制造二厂,苏州,塑料制品,L04,早班,1626,87.2,1.5,40.47,34271,12,80.5
2024-05-02,F006,东北制造厂,沈阳,化工材料,L06,夜班,1573,93.7,0.9,13.14,11848,11,76.6
2024-03-22,F004,华北制造厂,天津,化工材料,L04,中班,2834,95.9,3.9,15.53,16674,8,96.7
2024-02-12,F004,华北制造厂,天津,化工材料,L08,中班,2808,96.3,2.6,23.84,11620,12,67.6
2024-02-28,F005,西南制造厂,成都,机械装备,L01,夜班,4436,97.7,2.8,9.62,34810,12,64.7
2024-02-09,F001,华东制造一厂,上海,塑料制品,L03,中班,1251,98.7,1.2,25.3,23910,6,75.8
2024-05-12,F004,华北制造厂,天津,汽车零部件,L07,早班,3571,88.3,1.7,9.46,22973,12,65.5
2024-03-27,F001,华东制造一厂,上海,塑料制品,L03,夜班,4342,91.5,0.1,8.57,17772,7,91.7
2024-06-20,F005,西南制造厂,成都,金属制品,L07,早班,2860,88.4,0.7,15.73,30957,6,64.2
2024-05-18,F004,华北制造厂,天津,电子元器件,L04,夜班,1676,89.2,0.1,20.88,38399,9,67.1
2024-01-17,F006,东北制造厂,沈阳,机械装备,L02,夜班,4957,92.4,4.9,29.94,26588,12,77.9
2024-04-12,F006,东北制造厂,沈阳,机械装备,L01,中班,1053,90.0,3.7,33.27,39135,11,88.8
2024-01-12,F002,华东制造二厂,苏州,金属制品,L06,夜班,1934,97.0,3.5,49.14,32361,11,66.9
2024-01-23,F002,华东制造二厂,苏州,塑料制品,L01,中班,2151,85.6,1.1,6.89,21321,10,75.1
2024-04-09,F005,西南制造厂,成都,电子元器件,L04,中班,3424,97.5,0.3,34.51,18905,6,90.4
2024-04-24,F004,华北制造厂,天津,塑料制品,L07,中班,2030,92.2,2.5,46.59,35031,8,90.4
2024-04-03,F006,东北制造厂,沈阳,塑料制品,L03,夜班,2906,89.7,0.5,34.74,21086,9,82.9
2024-02-23,F004,华北制造厂,天津,塑料制品,L06,中班,846,95.5,4.6,32.67,29504,8,84.3
2024-01-22,F001,华东制造一厂,上海,化工材料,L07,中班,4703,96.6,3.4,47.88,10357,12,83.1
2024-01-05,F004,华北制造厂,天津,电子元器件,L04,夜班,3500,90.3,4.8,6.46,11055,11,77.1
2024-03-15,F003,华南制造厂,深圳,电子元器件,L03,夜班,3506,90.8,3.3,16.23,8434,6,88.0
2024-05-13,F004,华北制造厂,天津,金属制品,L02,中班,2632,95.2,1.2,32.53,33191,7,64.7
2024-04-06,F001,华东制造一厂,上海,化工材料,L08,早班,3118,94.7,3.6,29.75,20029,8,92.4
2024-06-23,F006,东北制造厂,沈阳,化工材料,L03,中班,4667,88.3,4.9,40.64,16514,12,78.8
2024-05-19,F003,华南制造厂,深圳,机械装备,L08,夜班,1563,93.9,0.5,18.92,32369,10,75.6
2024-05-03,F004,华北制造厂,天津,汽车零部件,L06,夜班,1107,91.5,3.4,20.5,37130,11,82.3
2024-04-17,F002,华东制造二厂,苏州,电子元器件,L02,夜班,1753,89.4,0.9,47.06,15776,8,96.0
2024-03-28,F005,西南制造厂,成都,电子元器件,L05,早班,2748,86.8,1.6,29.01,33936,11,66.4
2024-02-06,F005,西南制造厂,成都,化工材料,L06,夜班,837,97.0,0.2,7.05,38799,8,84.7
2024-04-20,F005,西南制造厂,成都,化工材料,L01,中班,4969,89.2,4.8,26.73,27613,8,77.2
2024-01-06,F006,东北制造厂,沈阳,塑料制品,L07,中班,4304,88.0,3.1,19.07,21926,11,97.5
2024-04-05,F003,华南制造厂,深圳,机械装备,L02,中班,2480,91.8,1.4,16.16,7344,6,71.0
2024-05-14,F004,华北制造厂,天津,汽车零部件,L03,中班,3061,87.8,0.9,49.82,31593,9,93.4
2024-01-03,F004,华北制造厂,天津,塑料制品,L08,早班,2262,93.5,0.3,17.66,31840,8,80.4
2024-04-05,F001,华东制造一厂,上海,机械装备,L06,中班,3497,85.7,0.4,30.28,24758,10,71.0
2024-05-15,F004,华北制造厂,天津,金属制品,L05,夜班,1473,86.9,0.6,21.79,23222,10,95.7
2024-02-20,F002,华东制造二厂,苏州,金属制品,L07,夜班,829,85.7,0.8,19.99,32047,10,77.4
2024-05-05,F005,西南制造厂,成都,机械装备,L06,早班,3719,99.4,3.7,18.47,23044,10,91.5
2024-04-23,F005,西南制造厂,成都,金属制品,L05,中班,636,90.3,3.4,49.1,39253,8,90.3
2024-06-21,F006,东北制造厂,沈阳,电子元器件,L08,中班,2364,95.5,3.0,12.67,25916,7,91.2
2024-01-19,F002,华东制造二厂,苏州,化工材料,L02,早班,655,91.4,2.2,23.58,14362,9,79.1
2024-04-28,F005,西南制造厂,成都,化工材料,L01,夜班,1631,92.5,2.8,49.92,32350,10,74.3
2024-04-18,F002,华东制造二厂,苏州,机械装备,L06,夜班,2665,93.8,1.0,16.09,37574,8,68.5
2024-03-23,F003,华南制造厂,深圳,汽车零部件,L08,中班,4430,90.1,4.7,40.79,18921,8,64.6
2024-05-13,F006,东北制造厂,沈阳,塑料制品,L06,早班,2879,85.6,4.8,8.56,29991,11,69.7
2024-02-07,F004,华北制造厂,天津,金属制品,L05,夜班,2725,87.0,3.1,31.41,16889,6,85.5
2024-02-21,F005,西南制造厂,成都,汽车零部件,L01,早班,3885,89.8,2.4,35.65,10009,6,96.7
2024-04-21,F002,华东制造二厂,苏州,塑料制品,L08,夜班,2133,96.0,1.5,17.84,4877,12,63.4
2024-02-18,F005,西南制造厂,成都,化工材料,L01,早班,3923,97.8,1.0,46.38,27017,12,78.8
2024-03-02,F006,东北制造厂,沈阳,电子元器件,L05,夜班,1379,98.5,1.7,25.45,36605,10,78.8
2024-05-15,F002,华东制造二厂,苏州,机械装备,L04,早班,3208,87.4,2.3,16.58,13202,6,88.0
2024-05-22,F003,华南制造厂,深圳,汽车零部件,L03,夜班,3821,97.0,2.6,8.9,7251,7,97.3
2024-03-08,F004,华北制造厂,天津,电子元器件,L05,中班,2429,91.5,1.4,19.83,39172,11,81.8
2024-06-12,F003,华南制造厂,深圳,化工材料,L04,早班,1468,91.7,0.9,35.87,21380,11,64.5
2024-03-20,F003,华南制造厂,深圳,汽车零部件,L04,早班,4417,87.2,3.8,32.26,28252,11,80.9
2024-05-26,F004,华北制造厂,天津,化工材料,L04,早班,1170,92.6,2.7,21.28,37973,6,62.3
2024-05-07,F005,西南制造厂,成都,金属制品,L03,早班,3187,97.4,2.3,35.61,39217,9,63.5
2024-04-26,F005,西南制造厂,成都,电子元器件,L08,早班,4704,91.0,2.9,30.15,21196,11,60.8
2024-01-24,F003,华南制造厂,深圳,汽车零部件,L02,早班,3970,90.0,0.4,49.74,5523,9,61.2
2024-02-25,F004,华北制造厂,天津,汽车零部件,L07,中班,3633,91.5,4.6,21.99,6259,11,96.6
2024-02-21,F005,西南制造厂,成都,机械装备,L02,早班,4901,90.7,0.7,49.04,1227,12,60.9
2024-04-22,F003,华南制造厂,深圳,化工材料,L07,夜班,3607,96.9,1.3,20.58,19064,7,95.6
2024-01-02,F006,东北制造厂,沈阳,化工材料,L07,夜班,628,88.5,0.4,31.73,30257,10,85.5
2024-02-24,F001,华东制造一厂,上海,电子元器件,L07,中班,2419,92.8,3.8,39.92,10183,10,97.8
2024-06-19,F002,华东制造二厂,苏州,机械装备,L06,早班,2972,97.7,4.9,28.46,28103,8,70.5
2024-05-24,F005,西南制造厂,成都,汽车零部件,L07,夜班,4560,85.7,1.8,33.95,25979,12,79.9
2024-04-14,F006,东北制造厂,沈阳,汽车零部件,L05,中班,2006,95.9,2.4,43.22,20709,12,86.9
2024-01-18,F004,华北制造厂,天津,塑料制品,L07,夜班,4841,86.9,1.3,14.15,6181,9,92.2
2024-05-24,F001,华东制造一厂,上海,汽车零部件,L01,中班,3589,94.8,3.1,44.31,13331,12,88.9
2024-06-18,F006,东北制造厂,沈阳,汽车零部件,L08,早班,3227,89.4,4.6,14.53,13453,11,64.5
2024-02-23,F004,华北制造厂,天津,金属制品,L04,中班,2460,93.0,3.9,22.13,35973,11,73.7
2024-03-17,F003,华南制造厂,深圳,塑料制品,L08,早班,4346,96.0,1.7,14.14,21507,9,61.7
2024-06-05,F002,华东制造二厂,苏州,电子元器件,L05,夜班,3920,89.3,1.1,15.35,38341,12,69.3
2024-06-22,F005,西南制造厂,成都,机械装备,L05,中班,4518,91.7,3.7,20.85,10172,11,80.8
2024-05-21,F002,华东制造二厂,苏州,电子元器件,L01,早班,897,96.1,2.1,42.91,16167,6,86.9
2024-02-17,F001,华东制造一厂,上海,塑料制品,L06,早班,4458,94.6,0.2,28.95,27957,6,60.6
