上映日期,电影名称,类型,上映城市,发行方,分级,排片场次,平均票价(元),观影人次,票房收入(元),观众评分,影评评分,上映天数
2024-05-12,无尽之旅,纪录片,杭州,猫眼,PG,389,57.1,37989,2169171.9,8.7,6.5,44
2024-09-30,末日危机,恐怖,武汉,万达,PG-13,4255,41.5,11640,483060.0,8.9,8.9,7
2024-08-29,迷雾追踪,悬疑,西安,万达,PG-13,1599,77.1,22496,1734441.6,7.8,6.0,27
2024-06-18,云端漫步,悬疑,南京,华谊,G,2508,50.5,8218,415009.0,6.7,8.9,31
2024-04-09,花开花落,喜剧,杭州,万达,PG-13,4440,41.4,4043,167380.2,9.1,5.7,27
2024-10-18,碧海蓝天,科幻,武汉,光线,G,1577,67.8,32454,2200381.2,5.9,9.4,1
2024-08-19,暗夜行者,爱情,广州,万达,R,4820,67.0,32584,2183128.0,8.6,8.5,41
2024-08-07,时光机器,纪录片,重庆,中影,PG-13,3240,25.3,35481,897669.3,5.2,6.7,49
2024-09-28,极速风暴,动作,北京,华谊,PG-13,2138,37.4,23067,862705.8,5.8,5.5,11
2024-02-03,笑傲江湖,悬疑,成都,猫眼,PG,3834,65.0,39583,2572895.0,7.0,7.0,22
2024-09-07,云端漫步,爱情,广州,猫眼,G,3404,26.1,15201,396746.1,8.2,5.6,38
2024-09-15,奇幻森林,喜剧,武汉,中影,G,406,45.6,42464,1936358.4,5.5,7.4,43
2024-02-25,末日危机,动作,北京,猫眼,PG,1048,47.9,25420,1217618.0,4.7,6.1,14
2024-12-21,心灵奇旅,动作,成都,猫眼,PG,3547,61.4,43916,2696442.4,7.0,7.8,27
2024-02-23,花开花落,喜剧,成都,光线,PG,1033,68.2,33119,2258715.8,5.2,5.9,23
2024-12-26,无尽之旅,悬疑,广州,万达,G,422,55.1,14111,777516.1,8.0,7.2,1
2024-12-09,深渊密码,喜剧,南京,猫眼,G,4147,33.2,6403,212579.6,8.5,5.3,58
2024-05-11,末日危机,爱情,重庆,中影,PG-13,2525,39.5,3782,149389.0,4.6,5.8,24
2024-12-12,钢铁意志,纪录片,上海,猫眼,PG,878,71.8,3507,251802.6,4.1,5.6,22
2024-07-02,碧海蓝天,悬疑,上海,博纳,PG-13,3152,69.8,12484,871383.2,4.7,6.8,54
2024-07-16,风中奇缘,恐怖,杭州,万达,G,1466,31.2,46124,1439068.8,8.2,9.4,27
2024-10-29,雷霆出击,恐怖,广州,猫眼,PG,3210,67.9,40565,2754363.5,4.2,8.1,31
2024-09-06,浪漫满屋,纪录片,重庆,猫眼,PG,476,28.5,43424,1237584.0,5.8,8.2,43
2024-06-22,花开花落,喜剧,杭州,华谊,G,2136,51.5,43996,2265794.0,7.9,6.7,1
2024-11-25,奇幻森林,恐怖,重庆,光线,G,1454,29.1,32720,952152.0,5.9,6.5,33
2024-04-24,暗影猎手,纪录片,杭州,博纳,R,2025,29.3,29610,867573.0,8.6,7.0,21
2024-03-01,雷霆出击,动作,上海,华谊,PG-13,3404,47.7,37012,1765472.4,7.2,8.7,57
2024-09-17,暗影猎手,爱情,重庆,光线,R,2892,45.0,4056,182520.0,8.7,8.8,46
2024-12-02,云端漫步,恐怖,上海,猫眼,PG-13,898,66.8,15032,1004137.6,4.0,6.6,36
2024-09-24,云端漫步,喜剧,北京,光线,PG,1444,52.1,47479,2473655.9,8.3,6.8,13
2024-03-02,时光机器,爱情,重庆,猫眼,G,1661,64.4,7562,486992.8,8.4,5.2,50
2024-08-18,碧海蓝天,科幻,重庆,华谊,R,135,54.2,3683,199618.6,7.2,6.9,60
2024-09-17,奇幻森林,科幻,广州,博纳,R,948,46.3,39857,1845379.1,7.5,6.4,39
2024-12-20,甜蜜时光,悬疑,杭州,华谊,PG-13,2908,78.4,30177,2365876.8,8.7,5.6,54
2024-12-25,暗影猎手,动画,西安,猫眼,PG,1880,36.0,41405,1490580.0,8.1,8.1,46
2024-11-28,奇幻森林,动画,上海,博纳,PG-13,2985,55.9,38694,2162994.6,7.3,8.0,57
2024-08-04,星际征途,喜剧,北京,万达,PG-13,3220,33.0,44425,1466025.0,4.3,6.2,44
2024-05-08,迷雾追踪,动作,成都,华谊,PG,1771,66.4,2617,173768.8,6.1,7.0,48
2024-11-27,暗影猎手,纪录片,深圳,博纳,R,4285,68.1,46121,3140840.1,5.7,8.0,27
2024-12-16,钢铁意志,动作,北京,猫眼,PG-13,2158,36.2,29536,1069203.2,8.8,9.1,49
2024-10-28,暗影猎手,爱情,深圳,猫眼,G,2509,49.7,45238,2248328.6,4.4,9.3,25
2024-01-21,无尽之旅,悬疑,西安,博纳,PG,2264,32.2,38772,1248458.4,8.9,5.0,3
2024-03-19,钢铁意志,动作,南京,猫眼,PG-13,2567,52.0,38030,1977560.0,7.2,5.3,34
2024-04-22,奇幻森林,喜剧,西安,万达,PG-13,1405,47.9,35695,1709790.5,6.3,6.6,22
2024-07-03,阳光灿烂,爱情,南京,中影,G,4445,51.1,37287,1905365.7,8.8,9.4,43
2024-06-26,碧海蓝天,爱情,南京,中影,R,2097,77.7,45231,3514448.7,9.1,6.7,17
2024-10-03,龙城风云,悬疑,北京,博纳,G,4334,70.2,25073,1760124.6,7.0,7.3,19
2024-11-29,极速风暴,动画,西安,华谊,G,774,77.2,11470,885484.0,9.6,8.5,41
2024-02-03,极速风暴,爱情,杭州,博纳,G,951,36.3,46554,1689910.2,9.1,8.3,48
2024-12-17,迷雾追踪,动作,重庆,华谊,G,2817,27.1,5300,143630.0,4.3,8.6,37
2024-04-26,暗夜行者,纪录片,杭州,中影,G,3795,59.7,28878,1724016.6,5.8,6.8,42
2024-11-12,深渊密码,动作,上海,华谊,G,3030,76.0,7455,566580.0,5.7,8.1,19
2024-08-12,时光机器,纪录片,北京,华谊,PG-13,3982,33.6,14909,500942.4,4.8,6.8,41
2024-03-14,阳光灿烂,动画,北京,华谊,R,4634,73.1,9765,713821.5,4.7,5.0,35
2024-10-07,深渊密码,悬疑,深圳,万达,PG,2916,36.6,42831,1567614.6,8.9,5.6,40
2024-05-09,极速风暴,喜剧,广州,博纳,G,4747,71.9,49720,3574868.0,9.4,9.5,19
2024-12-09,深渊密码,悬疑,上海,猫眼,PG,1717,64.9,32428,2104577.2,9.5,6.6,7
2024-05-25,都市猎人,喜剧,深圳,华谊,PG,2703,51.7,22018,1138330.6,7.6,6.4,37
2024-10-17,云端漫步,动画,杭州,猫眼,R,1481,25.3,16633,420814.9,8.6,8.2,18
2024-07-03,迷雾追踪,动画,重庆,猫眼,G,3891,49.5,20519,1015690.5,6.8,5.5,54
2024-05-23,迷雾追踪,爱情,成都,华谊,R,726,65.0,1720,111800.0,8.9,7.8,50
2024-10-29,极速风暴,动作,西安,光线,R,2234,54.9,35868,1969153.2,6.7,8.5,15
2024-10-28,龙城风云,悬疑,广州,猫眼,PG,3906,52.6,6434,338428.4,6.3,7.3,55
2024-11-10,心灵奇旅,科幻,西安,万达,R,1249,49.5,12240,605880.0,7.3,7.5,23
2024-01-21,甜蜜时光,恐怖,深圳,光线,R,614,39.5,15836,625522.0,4.2,5.9,31
2024-08-20,笑傲江湖,动作,武汉,猫眼,PG-13,945,63.7,34668,2208351.6,7.7,6.2,38
2024-10-05,星际迷航,科幻,杭州,光线,R,3200,45.1,43317,1953596.7,9.2,5.4,59
