城市,区域,楼盘名称,户型,建筑面积(㎡),总价(万元),单价(元/㎡),楼层,朝向,房龄(年),是否学区房
北京,朝阳区,望京SOHO,三室两厅,128,980,76563,高层,南北,8,是
北京,海淀区,中关村壹号,四室两厅,156,1350,86538,中层,南北,5,是
北京,朝阳区,国贸公寓,两室一厅,89,720,80899,低层,东南,12,否
北京,西城区,金融街华贸,三室两厅,142,1280,90141,高层,南北,3,是
北京,丰台区,方庄芳城园,两室一厅,78,420,53846,中层,东西,20,否
北京,昌平区,回龙观东大街,三室两厅,110,520,47273,低层,南,10,否
上海,浦东新区,陆家嘴中心,四室两厅,168,1680,100000,高层,南,4,是
上海,徐汇区,滨江花园,三室两厅,135,1180,87407,中层,南北,7,是
上海,静安区,南京西路壹号,两室一厅,95,850,89474,高层,东南,6,是
上海,闵行区,莘庄雅苑,三室两厅,120,680,56667,低层,南,15,否
上海,杨浦区,五角场万达,两室一厅,82,520,63415,中层,东南,9,否
上海,嘉定区,安亭新镇,三室两厅,115,480,41739,低层,南,8,否
广州,天河区,珠江新城,四室两厅,160,1280,80000,高层,南北,5,是
广州,越秀区,东山华庭,三室两厅,128,980,76563,中层,南北,10,是
广州,番禺区,丽江花园,两室一厅,88,380,43182,低层,东南,18,否
广州,白云区,白云堡家园,三室两厅,118,520,44068,中层,南,12,否
深圳,南山区,深圳湾壹号,四室两厅,175,2100,120000,高层,南北,3,是
深圳,福田区,香蜜湖豪庭,三室两厅,145,1580,108966,中层,南北,6,是
深圳,罗湖区,东门天地,两室一厅,78,580,74359,低层,东南,15,否
深圳,宝安区,西乡新城,三室两厅,110,620,56364,中层,南,8,否
成都,锦江区,太古里一号,三室两厅,130,780,60000,高层,南北,5,是
成都,武侯区,桐梓林花园,两室一厅,85,380,44706,中层,南,12,否
成都,高新区,天府新城,三室两厅,120,650,54167,低层,南北,7,否
杭州,西湖区,西溪诚园,三室两厅,125,850,68000,中层,南北,6,是
杭州,滨江区,钱江新城,四室两厅,160,1280,80000,高层,南北,4,是
杭州,余杭区,未来科技城,两室一厅,90,320,35556,低层,南,5,否
