门店名称,城市,菜系,月份,营业额(万元),客流量(人次),平均客单价(元),好评率(%),差评数
朝阳旗舰店,北京,川菜,1月,185.5,12300,151,92,15
朝阳旗舰店,北京,川菜,2月,165.2,10800,153,91,18
朝阳旗舰店,北京,川菜,3月,198.7,13500,147,93,12
朝阳旗舰店,北京,川菜,4月,210.3,14200,148,94,10
朝阳旗舰店,北京,川菜,5月,225.8,15100,149,95,8
朝阳旗舰店,北京,川菜,6月,240.1,15800,152,93,11
浦东中心店,上海,粤菜,1月,220.6,9800,225,90,22
浦东中心店,上海,粤菜,2月,198.3,8900,223,89,25
浦东中心店,上海,粤菜,3月,235.7,10500,224,91,18
浦东中心店,上海,粤菜,4月,252.1,11200,225,92,15
浦东中心店,上海,粤菜,5月,268.9,12000,224,93,12
浦东中心店,上海,粤菜,6月,285.4,12800,223,94,10
天河城店,广州,粤菜,1月,195.4,11500,170,88,28
天河城店,广州,粤菜,2月,178.2,10200,175,87,32
天河城店,广州,粤菜,3月,208.6,12500,167,89,22
天河城店,广州,粤菜,4月,222.8,13200,169,90,18
天河城店,广州,粤菜,5月,238.5,14100,169,91,15
天河城店,广州,粤菜,6月,255.3,15000,170,92,12
春熙路店,成都,川菜,1月,168.9,14200,119,93,10
春熙路店,成都,川菜,2月,152.3,12800,119,92,12
春熙路店,成都,川菜,3月,182.7,15500,118,94,8
春熙路店,成都,川菜,4月,198.5,16800,118,95,6
春熙路店,成都,川菜,5月,215.2,18200,118,96,5
春熙路店,成都,川菜,6月,232.8,19500,119,95,7
中央大街店,哈尔滨,东北菜,1月,145.6,11800,123,86,35
中央大街店,哈尔滨,东北菜,2月,128.3,10200,126,85,38
中央大街店,哈尔滨,东北菜,3月,162.8,13200,123,87,30
中央大街店,哈尔滨,东北菜,4月,178.5,14500,123,88,25
中央大街店,哈尔滨,东北菜,5月,195.2,15800,123,89,20
中央大街店,哈尔滨,东北菜,6月,208.7,16800,124,90,15
西直门店,北京,火锅,1月,210.5,10500,200,91,18
西直门店,北京,火锅,2月,188.2,9200,204,90,22
西直门店,北京,火锅,3月,225.7,11500,196,92,14
西直门店,北京,火锅,4月,242.3,12200,199,93,11
西直门店,北京,火锅,5月,258.8,13000,199,94,9
西直门店,北京,火锅,6月,275.4,13800,199,95,7
徐家汇店,上海,日料,1月,198.6,7200,276,89,20
徐家汇店,上海,日料,2月,178.3,6500,274,88,24
徐家汇店,上海,日料,3月,212.7,7800,273,90,16
徐家汇店,上海,日料,4月,228.5,8200,279,91,13
徐家汇店,上海,日料,5月,245.2,8800,279,92,10
徐家汇店,上海,日料,6月,262.8,9500,277,93,8
