门店ID,门店名称,城市,区域,商品类别,月份,销售额(万元),客流量(人次),客单价(元),好评率(%),退货率(%)
S001,北京朝阳店,北京,华北,运动,1月,62.3,5959,104.5,86.2,1.6
S002,北京海淀店,北京,华北,食品,2月,74.7,10120,73.8,83.5,2.0
S003,北京丰台店,北京,华北,食品,3月,29.6,6628,44.7,92.2,2.5
S004,北京通州店,北京,华北,运动,4月,93.2,4179,223.0,85.7,3.4
S005,上海浦东店,上海,华东,食品,5月,52.4,6729,77.9,89.2,1.5
S006,上海徐汇店,上海,华东,服装,6月,182.3,4682,389.3,83.6,3.9
S007,上海静安店,上海,华东,电子,7月,573.7,3763,1524.5,94.4,3.1
S008,上海闵行店,上海,华东,家居,8月,45.6,3465,131.5,92.7,5.5
S009,广州天河店,广州,华南,电子,9月,557.7,3736,1492.8,82.8,1.9
S010,广州越秀店,广州,华南,电子,10月,777.5,3922,1982.3,96.7,2.5
S011,广州番禺店,广州,华南,家居,11月,176.1,4971,354.3,88.3,2.4
S012,深圳南山店,深圳,华南,电子,12月,751.3,4575,1642.2,83.2,3.5
S013,深圳福田店,深圳,华南,美妆,1月,137.4,4776,287.7,88.5,4.0
S014,深圳罗湖店,深圳,华南,运动,2月,59.9,2590,231.4,87.5,4.1
S015,成都锦江店,成都,西南,食品,3月,26.9,5224,51.5,87.4,1.4
S016,成都武侯店,成都,西南,服装,4月,220.7,5835,378.3,94.2,4.9
S017,成都青羊店,成都,西南,家居,5月,186.8,7230,258.3,89.8,2.7
S001,北京朝阳店,北京,华北,服装,6月,191.4,5694,336.2,94.7,6.9
S002,北京海淀店,北京,华北,美妆,7月,100.6,4747,211.9,99.0,2.4
S003,北京丰台店,北京,华北,食品,8月,85.8,11027,77.8,84.6,1.1
S004,北京通州店,北京,华北,运动,9月,46.8,2704,172.9,88.5,5.0
S005,上海浦东店,上海,华东,美妆,10月,123.6,6951,177.8,98.0,3.0
S006,上海徐汇店,上海,华东,食品,11月,84.4,11386,74.1,86.5,2.7
S007,上海静安店,上海,华东,食品,12月,50.1,9160,54.7,82.1,3.0
S008,上海闵行店,上海,华东,运动,1月,66.2,4802,137.9,85.0,4.7
S009,广州天河店,广州,华南,运动,2月,59.7,4100,145.7,92.4,1.6
S010,广州越秀店,广州,华南,服装,3月,196.3,6893,284.8,91.0,3.0
S011,广州番禺店,广州,华南,电子,4月,185.1,1335,1386.3,88.2,4.9
S012,深圳南山店,深圳,华南,电子,5月,205.9,1894,1087.3,91.6,1.3
S013,深圳福田店,深圳,华南,运动,6月,42.5,2276,186.9,94.9,4.1
S014,深圳罗湖店,深圳,华南,服装,7月,267.9,8507,314.9,84.8,7.7
S015,成都锦江店,成都,西南,美妆,8月,92.8,4270,217.3,91.2,3.1
S016,成都武侯店,成都,西南,服装,9月,196.7,5993,328.2,93.4,6.4
S017,成都青羊店,成都,西南,美妆,10月,110.5,4936,223.8,83.1,0.9
S001,北京朝阳店,北京,华北,美妆,11月,97.1,5617,172.9,83.2,2.8
S002,北京海淀店,北京,华北,服装,12月,79.0,4735,166.9,87.6,7.6
S003,北京丰台店,北京,华北,电子,1月,315.9,1971,1602.8,84.2,4.7
S004,北京通州店,北京,华北,美妆,2月,101.3,4012,252.5,90.0,2.1
S005,上海浦东店,上海,华东,食品,3月,35.9,8017,44.8,89.2,2.1
S006,上海徐汇店,上海,华东,运动,4月,42.4,4613,91.9,93.0,1.2
S007,上海静安店,上海,华东,运动,5月,92.6,5991,154.6,86.2,1.8
S008,上海闵行店,上海,华东,家居,6月,45.5,2917,156.1,89.9,5.4
S009,广州天河店,广州,华南,食品,7月,75.5,12132,62.2,91.4,0.7
