比赛日期,球队名称,对手球队,比赛场地,胜负结果,得分,失分,篮板数,助攻数,抢断数,盖帽数,三分命中率(%),罚球命中率(%),上座人数
2024-10-16,山东高速,深圳马可波罗,客场·深圳体育馆,负,95,102,48,28,4,6,35.0,75.9,7509
2024-10-17,深圳马可波罗,新疆伊力特,客场·乌鲁木齐体育馆,负,95,117,32,21,3,3,19.6,78.1,8938
2024-10-18,北京首钢,江苏肯帝亚,主场·北京体育馆,负,95,102,39,21,10,4,41.2,70.8,11917
2024-10-19,上海久事,江苏肯帝亚,客场·南京体育馆,胜,108,98,45,19,8,4,28.8,72.8,5241
2024-10-19,浙江广厦,上海久事,主场·杭州体育馆,胜,116,112,38,18,7,6,38.7,82.9,4600
2024-10-19,深圳马可波罗,山东高速,客场·济南体育馆,负,80,84,39,23,6,3,33.7,73.6,4803
2024-10-19,江苏肯帝亚,上海久事,主场·南京体育馆,负,96,106,43,23,5,4,20.6,76.2,8357
2024-10-19,深圳马可波罗,江苏肯帝亚,客场·南京体育馆,负,90,107,36,24,3,4,30.9,81.7,7730
2024-10-20,深圳马可波罗,北京首钢,客场·北京体育馆,负,98,117,42,23,8,1,35.9,72.1,7157
2024-10-21,广东宏远,山东高速,主场·东莞体育馆,胜,105,84,40,24,4,3,26.9,82.7,11397
2024-10-22,新疆伊力特,北京首钢,客场·北京体育馆,胜,114,106,43,26,8,5,33.3,75.2,10424
2024-10-22,辽宁本钢,广东宏远,主场·沈阳体育馆,胜,103,96,38,18,9,3,36.4,70.4,14362
2024-10-24,山东高速,上海久事,主场·济南体育馆,胜,113,78,48,21,7,3,43.4,75.9,9080
2024-10-25,浙江广厦,新疆伊力特,主场·杭州体育馆,胜,117,92,49,22,6,7,37.9,78.3,5694
2024-10-26,上海久事,四川金强,客场·成都体育馆,胜,127,99,36,17,10,8,32.1,89.8,8325
2024-10-26,深圳马可波罗,上海久事,客场·上海体育馆,负,102,105,49,25,8,7,36.9,78.7,12734
2024-10-26,北京首钢,上海久事,主场·北京体育馆,胜,99,88,48,29,5,7,32.3,79.4,12820
2024-10-27,上海久事,新疆伊力特,客场·乌鲁木齐体育馆,胜,99,91,40,19,7,7,36.0,70.7,11208
2024-10-27,新疆伊力特,山东高速,主场·乌鲁木齐体育馆,负,94,98,34,23,6,6,40.0,72.9,6942
