用户ID,入网日期,套餐类型,所在省份,用户等级,月消费(元),通话时长(分钟),流量使用(GB),宽带带宽(Mbps),是否携号转网,客户满意度,在网时长(月)
U20230001,2022-08-02,5G畅享套餐129元,上海,银卡,202.03,285,51.94,500,否,5,23
U20230002,2019-07-11,4G飞享套餐89元,江苏,银卡,104.47,187,14.29,200,否,9,60
U20230003,2019-01-14,天翼大流量套餐,广东,普通,107.26,146,35.21,200,否,8,66
U20230004,2023-07-11,大王卡29元,北京,银卡,102.64,76,40.42,0,否,8,12
U20230005,2019-04-04,冰激凌套餐99元,江苏,钻石,227.35,416,35.06,300,否,7,63
U20230006,2022-10-04,5G畅享套餐199元,浙江,银卡,260.52,1203,78.14,1000,否,8,21
U20230007,2022-11-03,5G畅享套餐129元,四川,普通,142.21,397,39.62,500,否,7,20
U20230008,2022-09-04,天翼大流量套餐,河南,金卡,131.96,35,81.86,200,否,7,22
U20230009,2022-04-10,冰激凌套餐159元,山东,普通,218.82,771,26.13,500,否,9,27
U20230010,2021-05-14,5G畅享套餐199元,福建,普通,228.69,955,89.85,1000,否,6,38
U20230011,2023-12-18,冰激凌套餐99元,湖北,金卡,134.26,211,22.35,300,否,7,7
U20230012,2021-11-05,冰激凌套餐99元,上海,金卡,196.32,215,30.09,300,是,10,32
U20230013,2022-05-11,大王卡29元,四川,普通,89.48,143,18.37,100,是,5,26
U20230014,2021-09-22,4G飞享套餐59元,上海,普通,103.25,94,13.43,100,否,8,34
U20230015,2023-02-03,冰激凌套餐99元,江苏,普通,154.18,346,25.05,300,否,5,17
U20230016,2022-02-08,4G飞享套餐89元,江苏,普通,144.89,71,9.99,200,否,7,29
U20230017,2021-09-21,4G飞享套餐59元,江苏,银卡,129.06,94,10.76,100,否,8,34
U20230018,2020-12-26,天翼大流量套餐,山东,普通,118.68,214,40.75,200,否,9,43
U20230019,2020-05-24,4G飞享套餐89元,江苏,银卡,112.99,156,15.78,200,否,9,50
U20230020,2019-07-20,5G畅享套餐129元,北京,钻石,325.38,649,37.12,500,否,8,60
U20230021,2019-01-05,冰激凌套餐99元,山东,金卡,167.63,290,40.85,300,否,7,66
U20230022,2020-01-24,4G飞享套餐89元,浙江,钻石,188.64,270,14.62,200,否,9,54
U20230023,2019-11-19,5G畅享套餐199元,北京,金卡,338.39,647,79.08,1000,否,8,56
U20230024,2019-03-23,5G畅享套餐199元,福建,普通,227.78,1112,60.88,1000,否,7,64
U20230025,2022-10-07,大王卡29元,浙江,普通,76.19,47,50.90,0,否,8,21
U20230026,2019-09-29,5G畅享套餐199元,四川,金卡,311.21,732,95.05,1000,是,8,58
U20230027,2019-01-17,冰激凌套餐99元,湖北,钻石,141.27,403,43.97,300,否,7,66
U20230028,2020-03-07,4G飞享套餐89元,四川,银卡,166.45,188,15.76,200,否,9,52
U20230029,2019-04-01,冰激凌套餐159元,北京,金卡,311.03,670,55.75,500,否,9,63
U20230030,2024-01-26,5G畅享套餐129元,广东,金卡,254.44,293,42.38,500,否,9,6
U20230031,2024-01-15,4G飞享套餐89元,四川,银卡,152.50,204,31.05,200,否,4,6
U20230032,2020-04-29,4G飞享套餐59元,广东,金卡,90.11,123,20.22,100,否,9,51
U20230033,2020-06-30,5G畅享套餐199元,广东,普通,266.50,950,106.07,1000,否,10,49
U20230034,2020-04-01,4G飞享套餐89元,北京,普通,130.50,179,16.87,200,否,9,51
U20230035,2020-11-09,5G畅享套餐199元,北京,金卡,352.84,1178,46.90,1000,否,9,44
U20230036,2021-06-12,5G畅享套餐199元,福建,普通,227.24,811,49.86,1000,否,8,37
U20230037,2023-02-28,冰激凌套餐159元,江苏,普通,246.97,1180,55.96,500,是,8,17
U20230038,2022-09-27,冰激凌套餐159元,山东,普通,166.17,514,78.65,500,是,8,22
U20230039,2020-09-08,5G畅享套餐129元,山东,普通,129.76,683,35.11,500,否,8,46
U20230040,2023-06-14,5G畅享套餐199元,广东,普通,313.39,1083,106.54,1000,否,9,13
U20230041,2019-10-29,5G畅享套餐129元,北京,普通,201.24,635,41.63,500,否,8,57
U20230042,2021-10-09,4G飞享套餐89元,山东,普通,125.57,357,27.86,200,否,9,33
U20230043,2022-11-26,大王卡29元,湖北,普通,32.69,85,40.58,100,否,4,20
U20230044,2023-12-31,天翼大流量套餐,河南,金卡,124.84,201,60.89,200,否,8,7
U20230045,2023-04-18,大王卡29元,湖北,银卡,37.49,21,21.96,100,否,6,15
U20230046,2021-02-23,4G飞享套餐89元,广东,普通,140.17,220,13.62,200,是,8,41
U20230047,2022-11-25,天翼大流量套餐,北京,普通,166.31,88,95.71,200,否,8,20
U20230048,2023-06-27,4G飞享套餐89元,福建,普通,94.47,205,25.59,200,否,9,13
U20230049,2024-02-27,5G畅享套餐129元,广东,金卡,255.14,544,46.17,500,否,7,5
U20230050,2020-11-01,大王卡29元,江苏,普通,76.89,106,34.25,0,否,8,44
U20230051,2019-04-17,4G飞享套餐89元,四川,银卡,161.07,293,18.78,200,否,6,63
U20230052,2019-09-16,5G畅享套餐199元,河南,银卡,220.25,1264,56.40,1000,否,6,58
U20230053,2023-08-05,冰激凌套餐99元,广东,普通,125.53,295,39.74,300,否,5,11
U20230054,2022-11-15,5G畅享套餐199元,江苏,银卡,270.30,1255,100.95,1000,否,8,20
U20230055,2022-09-16,5G畅享套餐199元,四川,银卡,273.27,1422,57.93,1000,否,9,22
