出行日期,游客编号,出发城市,目的城市,交通方式,出行天数,人数,人均费用(元),总费用(元),住宿星级,景点评分,满意度评分(%),出行目的,预订渠道
2024-01-01,T10000,昆明,重庆,高铁,7,6,3085,18510,4,3.7,74.1,探亲访友,旅行社
2024-08-20,T10001,昆明,成都,自驾,6,3,2442,7326,4,4.2,68.2,探亲访友,手机APP
2024-03-19,T10002,西安,成都,高铁,2,2,4192,8384,5,4.7,81.7,文化体验,旅行社
2024-03-14,T10003,广州,深圳,大巴,3,1,4374,4374,4,4.3,72.3,文化体验,手机APP
2024-01-13,T10004,成都,三亚,飞机,3,5,7532,37660,3,3.8,69.9,休闲度假,门店预订
2024-06-18,T10005,青岛,杭州,火车,5,3,2628,7884,5,3.5,64.7,美食之旅,旅行社
2024-03-25,T10006,三亚,厦门,自驾,6,6,5823,34938,5,4.5,79.0,文化体验,在线平台
2024-03-28,T10007,西安,厦门,高铁,6,4,2847,11388,5,4.4,82.3,休闲度假,在线平台
2024-06-21,T10008,广州,西安,自驾,5,3,2369,7107,4,4.5,70.6,文化体验,手机APP
2024-07-06,T10009,青岛,三亚,高铁,1,4,4767,19068,4,4.6,85.8,休闲度假,旅行社
2024-02-16,T10010,广州,重庆,火车,1,1,1343,1343,3,4.7,80.4,休闲度假,在线平台
2024-07-10,T10011,成都,厦门,高铁,4,1,1772,1772,5,4.2,64.9,美食之旅,旅行社
2024-06-28,T10012,北京,上海,大巴,8,3,5935,17805,4,4.9,81.4,商务出行,旅行社
2024-07-17,T10013,三亚,厦门,火车,5,6,4240,25440,5,4.2,68.9,休闲度假,门店预订
2024-03-10,T10014,成都,西安,飞机,1,3,3876,11628,4,4.7,93.1,探亲访友,手机APP
2024-08-25,T10015,重庆,三亚,大巴,5,6,568,3408,3,4.6,91.1,美食之旅,旅行社
2024-07-18,T10016,北京,三亚,大巴,7,2,3560,7120,4,3.7,88.7,文化体验,门店预订
2024-04-17,T10017,深圳,杭州,火车,5,4,1148,4592,5,4.5,80.7,探亲访友,门店预订
2024-05-04,T10018,深圳,上海,大巴,10,2,1994,3988,5,3.9,84.3,商务出行,手机APP
2024-01-06,T10019,北京,深圳,飞机,5,5,906,4530,5,3.7,77.1,休闲度假,旅行社
2024-04-11,T10020,上海,深圳,大巴,5,4,620,2480,5,5.0,78.1,休闲度假,手机APP
2024-07-03,T10021,上海,深圳,火车,8,3,959,2877,4,3.8,92.8,文化体验,在线平台
2024-04-24,T10022,上海,成都,飞机,4,4,3652,14608,5,4.6,63.7,商务出行,门店预订
2024-03-21,T10023,西安,青岛,飞机,9,3,3056,9168,4,3.7,78.8,探亲访友,旅行社
2024-04-04,T10024,杭州,北京,高铁,7,6,7575,45450,5,3.5,91.0,美食之旅,在线平台
2024-08-23,T10025,西安,深圳,火车,3,1,573,573,5,4.7,69.7,文化体验,在线平台
2024-01-02,T10026,厦门,三亚,自驾,3,6,3272,19632,4,4.7,64.9,商务出行,手机APP
2024-08-24,T10027,昆明,青岛,高铁,1,3,6698,20094,5,4.0,65.3,休闲度假,门店预订
2024-08-07,T10028,青岛,重庆,火车,3,3,5079,15237,4,4.0,88.6,探亲访友,旅行社
2024-05-27,T10029,上海,三亚,自驾,9,4,1769,7076,5,4.2,90.3,美食之旅,门店预订
2024-06-25,T10030,青岛,广州,火车,4,1,7732,7732,5,4.6,85.7,美食之旅,门店预订
2024-03-20,T10031,深圳,三亚,自驾,6,4,6096,24384,5,4.5,64.3,美食之旅,在线平台
2024-04-04,T10032,北京,深圳,大巴,4,1,1963,1963,3,3.5,85.0,文化体验,门店预订
2024-05-02,T10033,昆明,厦门,自驾,4,5,6245,31225,4,4.6,60.5,商务出行,门店预订
2024-01-12,T10034,上海,昆明,火车,7,6,7061,42366,5,4.7,62.3,美食之旅,手机APP
2024-05-03,T10035,昆明,北京,高铁,9,1,6515,6515,3,3.7,69.0,文化体验,旅行社
2024-03-18,T10036,深圳,三亚,火车,7,2,5881,11762,3,4.6,82.5,文化体验,门店预订
2024-07-17,T10037,上海,深圳,自驾,3,2,6991,13982,4,5.0,77.3,探亲访友,手机APP
2024-07-25,T10038,昆明,杭州,大巴,6,3,7421,22263,4,3.9,81.3,文化体验,手机APP
2024-01-24,T10039,杭州,昆明,飞机,5,4,4165,16660,4,3.5,65.3,探亲访友,在线平台
2024-01-25,T10040,成都,深圳,自驾,9,3,2259,6777,4,4.3,96.1,商务出行,在线平台
2024-03-09,T10041,北京,昆明,自驾,10,2,3413,6826,4,3.8,91.6,休闲度假,门店预订
2024-06-26,T10042,三亚,深圳,大巴,3,1,6515,6515,5,4.7,86.9,美食之旅,在线平台
2024-07-03,T10043,三亚,青岛,飞机,6,1,2960,2960,5,4.8,76.9,休闲度假,旅行社
2024-01-21,T10044,青岛,厦门,大巴,1,5,7458,37290,5,4.3,72.5,美食之旅,旅行社
2024-03-02,T10045,杭州,三亚,大巴,8,2,6216,12432,4,4.4,63.5,文化体验,手机APP
2024-02-16,T10046,西安,广州,火车,1,3,1582,4746,4,4.1,63.3,美食之旅,门店预订
2024-08-18,T10047,青岛,广州,高铁,8,2,6742,13484,5,4.5,67.6,美食之旅,旅行社
2024-06-22,T10048,深圳,上海,火车,2,4,2681,10724,3,4.5,76.5,探亲访友,旅行社
2024-01-25,T10049,杭州,西安,自驾,3,6,5365,32190,5,4.4,98.6,文化体验,旅行社
2024-04-22,T10050,重庆,北京,自驾,3,2,7202,14404,3,3.7,62.1,美食之旅,旅行社
2024-02-10,T10051,成都,北京,大巴,8,6,3312,19872,3,4.0,88.9,商务出行,旅行社
2024-08-20,T10052,昆明,三亚,高铁,1,3,6646,19938,5,4.4,85.9,休闲度假,手机APP
2024-05-02,T10053,广州,北京,大巴,1,2,2826,5652,3,4.1,70.6,探亲访友,在线平台
2024-07-08,T10054,北京,杭州,大巴,9,6,7605,45630,3,4.9,78.9,美食之旅,在线平台
2024-01-02,T10055,广州,成都,高铁,9,4,4601,18404,5,4.0,75.3,商务出行,在线平台
2024-05-08,T10056,杭州,青岛,火车,5,3,3382,10146,3,4.4,94.3,休闲度假,手机APP
2024-03-03,T10057,深圳,广州,大巴,9,4,3299,13196,4,4.8,86.8,文化体验,旅行社
2024-06-15,T10058,三亚,广州,火车,3,3,3993,11979,4,4.5,82.7,商务出行,旅行社
2024-07-25,T10059,成都,三亚,高铁,10,2,7951,15902,4,4.0,81.7,休闲度假,旅行社
2024-06-14,T10060,杭州,广州,大巴,5,1,6456,6456,5,4.6,92.0,探亲访友,旅行社
2024-01-25,T10061,深圳,上海,火车,10,2,1577,3154,5,4.4,83.9,美食之旅,旅行社
2024-02-23,T10062,深圳,青岛,大巴,3,3,713,2139,4,4.8,78.3,探亲访友,旅行社
2024-03-07,T10063,西安,昆明,高铁,1,2,4381,8762,5,4.6,60.6,探亲访友,门店预订
2024-02-06,T10064,深圳,青岛,大巴,10,2,2161,4322,5,4.5,93.8,商务出行,门店预订
2024-07-24,T10065,西安,北京,自驾,7,6,5480,32880,4,4.9,82.3,美食之旅,在线平台
2024-01-08,T10066,昆明,上海,火车,9,4,4199,16796,5,5.0,61.5,文化体验,在线平台
2024-05-25,T10067,深圳,杭州,自驾,8,4,4100,16400,4,4.1,83.9,休闲度假,旅行社
2024-02-06,T10068,重庆,青岛,火车,9,1,4200,4200,4,4.1,72.6,休闲度假,旅行社
2024-04-15,T10069,重庆,厦门,飞机,5,6,7845,47070,5,4.5,95.4,商务出行,在线平台
2024-06-03,T10070,上海,广州,火车,7,4,6285,25140,4,4.4,66.2,美食之旅,门店预订
2024-03-06,T10071,北京,深圳,高铁,3,3,7973,23919,3,4.1,72.1,文化体验,手机APP
2024-04-01,T10072,厦门,广州,火车,5,2,1463,2926,3,4.2,93.4,美食之旅,在线平台
