日期,路段名称,方向,车道数,车流量(辆/h),平均车速(km/h),拥堵指数,天气状况,温度(℃),是否高峰期
2024-03-24,中山路,进城方向,4,1350,61.4,3.6,晴,28.0,否
2024-03-10,解放大街,出城方向,3,4725,15,8.9,多云,27.1,是
2024-04-29,环城高速北段,进城方向,6,5292,32.6,7.0,晴,34.5,是
2024-05-22,滨江大道,出城方向,4,1515,59.1,3.3,晴,30.1,否
2024-06-21,人民路,进城方向,3,1453,48.8,3.8,大雨,5.3,否
2024-05-23,建设大街,出城方向,4,1243,62.2,3.1,大雨,13.4,否
2024-01-30,环城高速南段,进城方向,6,3760,44.7,4.5,晴,33.3,是
2024-02-04,迎宾大道,出城方向,2,1357,46.3,5.2,小雨,18.4,否
2024-02-09,中山路,进城方向,4,1442,64.1,3.0,雾,11.9,否
2024-02-25,解放大街,出城方向,3,1314,57.2,3.8,小雨,21.7,否
2024-04-01,环城高速北段,进城方向,6,4337,35.6,5.9,阴,16.8,是
2024-06-18,滨江大道,出城方向,4,4248,23.1,7.4,雾,6.3,是
2024-05-24,人民路,进城方向,3,3864,15,8.9,晴,24.9,是
2024-02-07,建设大街,出城方向,4,3977,24.5,7.5,多云,16.6,是
2024-01-07,环城高速南段,进城方向,6,5683,24.1,6.7,晴,22.6,是
2024-01-14,迎宾大道,出城方向,2,2521,15,8.8,雪,-0.9,是
2024-01-28,中山路,进城方向,4,1533,61.3,3.8,小雨,15.3,否
2024-04-27,解放大街,出城方向,3,4541,15,8.1,晴,30.7,是
2024-04-23,环城高速北段,进城方向,6,5222,26.7,6.2,晴,29.5,是
2024-05-20,滨江大道,出城方向,4,2219,48.3,4.6,阴,11.5,否
2024-06-28,人民路,进城方向,3,4647,16.2,8.4,雾,13.9,是
2024-04-15,建设大街,出城方向,4,1484,58.4,3.5,小雨,13.2,否
2024-02-09,环城高速南段,进城方向,6,2111,56.1,2.8,晴,31.1,否
2024-02-03,迎宾大道,出城方向,2,2868,15,8.9,大雨,17.2,是
2024-04-18,中山路,进城方向,4,4649,15,8.3,多云,17.3,是
2024-05-03,解放大街,出城方向,3,4037,15,8.8,晴,28.6,是
2024-04-19,环城高速北段,进城方向,6,4522,34.4,5.9,大雨,9.0,是
2024-03-27,滨江大道,出城方向,4,1783,55.6,3.7,晴,22.1,否
2024-06-11,人民路,进城方向,3,3801,15,8.3,晴,25.6,是
2024-03-24,建设大街,出城方向,4,3015,38.8,5.9,晴,24.1,是
2024-06-18,环城高速南段,进城方向,6,2182,62.1,2.9,小雨,14.0,否
2024-03-13,迎宾大道,出城方向,2,1422,44.9,5.0,小雨,10.9,否
2024-02-24,中山路,进城方向,4,3660,23.6,7.0,多云,17.6,是
