城市,月份,平均气温(℃),降水量(mm),日照时长(小时),空气质量指数,风速(km/h)
北京,1月,-3.1,3,193,145,12
北京,2月,0.3,6,185,132,13
北京,3月,6.7,9,232,118,14
北京,4月,14.8,21,244,105,13
北京,5月,20.8,34,276,92,12
北京,6月,25.1,71,251,85,10
北京,7月,26.7,176,212,78,9
北京,8月,25.5,182,213,75,9
北京,9月,20.8,49,241,88,10
北京,10月,13.8,21,223,112,11
北京,11月,5.2,7,186,138,12
北京,12月,-1.2,3,183,156,13
上海,1月,4.8,74,102,88,14
上海,2月,6.6,59,108,92,15
上海,3月,10.5,94,132,85,16
上海,4月,16.0,90,168,72,15
上海,5月,21.2,102,185,65,14
上海,6月,25.0,170,142,58,13
上海,7月,28.6,142,198,52,12
上海,8月,28.3,132,215,55,12
上海,9月,24.9,137,162,62,14
上海,10月,19.2,62,168,75,14
上海,11月,13.6,51,142,88,15
上海,12月,7.6,46,128,95,15
广州,1月,14.3,43,122,68,10
广州,2月,15.8,65,85,72,11
广州,3月,18.5,85,75,78,12
广州,4月,22.6,180,82,65,11
广州,5月,26.2,285,112,55,10
广州,6月,28.0,276,135,48,9
广州,7月,28.9,232,178,42,9
广州,8月,28.6,278,165,45,9
广州,9月,27.4,172,172,52,10
广州,10月,24.2,87,178,62,10
广州,11月,19.4,35,172,72,10
广州,12月,15.2,20,145,80,10
成都,1月,6.0,8,62,112,8
成都,2月,8.5,12,65,108,9
成都,3月,12.5,25,95,95,10
成都,4月,17.5,50,112,82,9
成都,5月,21.8,90,135,68,8
成都,6月,24.8,170,120,55,7
成都,7月,25.8,280,102,48,7
成都,8月,25.4,265,110,52,7
成都,9月,22.0,120,85,65,8
成都,10月,17.4,45,62,82,8
成都,11月,12.5,18,55,98,8
成都,12月,7.8,5,48,108,8
哈尔滨,1月,-18.3,4,165,85,14
哈尔滨,2月,-13.1,5,178,82,13
哈尔滨,3月,-3.8,11,228,75,13
哈尔滨,4月,7.1,22,242,68,14
哈尔滨,5月,14.8,38,268,62,13
哈尔滨,6月,20.3,88,265,58,11
哈尔滨,7月,22.9,168,258,52,10
哈尔滨,8月,21.2,92,250,55,10
哈尔滨,9月,14.7,52,245,68,12
哈尔滨,10月,5.4,28,215,78,13
哈尔滨,11月,-6.1,9,172,88,14
哈尔滨,12月,-15.0,5,158,92,14
